individual,date,FS_channel,trial,bath_location,temp_increment,group,groups_simplified,externa_length,externa_width,externa_area,ext_biomass,ext_dactyl,externa_colour,starvation_date,starv_time,crab_biomass,dactyl,shell_type,shell_height,crab_water_volume_ml,crab_water_volume_L,control_water_ml,control_water_L,crab_slope_raw,temperature,control_slope_raw,crab_slope_vol_corrected,control_slope_volume_corrected,drift_corrected,met_rate_raw,met_rate,log_met_rate,,,experiment_survival,24_hour_survival,Note,,
19,2021-8-1,1,1,D,12,infected,infected,,,0,0,0,orange,2021-7-27,5,0.013,2.4,littorina_scutulata,6.1,23.57292,0.02357292,23.73854,0.02373854,-0.0020493,12.300885,-0.0013434,-0.00004830798496,-0.00003189035464,-0.00001641763032,-0.00126289464,1.26289464,0.10136712,,,yes,yes,Removed this trial from analysis due to only one point calibration ,,
22,2021-8-1,2,1,C,12,nonovigerous,uninfected,,,0,0,0,,2021-7-27,,0.044,5.1,,7.3,23.37888,0.02337888,23.58566,0.02358566,-0.0062632,12.300885,0.00064777,-0.0001464266012,0.00001527808298,-0.0001617046842,-0.003675106459,3.675106459,0.5652699241,,,yes,yes,,,
43,2021-8-1,3,1,B,12,ovigerous,ovigerous,,,0,0,0,,2021-7-28,,0.031,3.6,,,23.48766,0.02348766,23.69738,0.02369738,-0.0039119,12.300885,-0.0002699,-0.00009188137715,-0.000006395922862,-0.00008548545429,-0.0027575953,2.7575953,0.4405305302,,,yes,yes,"not randomly picked, but only one with eggs in jar. had eggs during experiment by August 4 they were gone",,
18,2021-8-1,4,1,A,12,nonovigerous,uninfected,,,0,0,#DIV/0!,,2021-7-27,,0.007,,,,23.41416,0.02341416,23.57194,0.02357194,-0.0010847,12.300885,7.06E-05,-0.00002539733935,1.66E-06,-2.71E-05,-3.87E-03,3.87E+00,0.5872541195,,,yes,no,This run has the weird calibration,,
8,2021-8-5,1,2,D,12,former_ovigerous,uninfected,,,0,0,0,,2021-7-29,7,0.02,1,littorina_scutulata,6.5,23.63368,0.02363368,23.73854,0.02373854,-0.0026498,12.7755852,-0.000488,-0.00006262452526,-0.00001158440752,-0.00005104011774,-0.002552005887,2.552005887,0.4068816719,,,yes,no,checked survival for trial on Aug 8 mornign,,
2,2021-8-5,2,2,C,12,hyper_infected,hyper_infected,,,0,0,0,hyper,2021-7-29,,0.051,1.9,littorina_sitkana,7.4,23.373,0.023373,23.58566,0.02358566,-0.0071027,12.7755852,0.00025507,-0.0001660114071,0.000006015994296,-0.0001720274014,-0.003373086302,3.373086302,0.5280274529,,,yes,no,checked survival for trial on Aug 8 mornign,,
30,2021-8-5,3,2,B,12,nonovigerous,uninfected,,,0,0,0,,2021-7-29,,0.013,0.9,littorina_scutulata,5.1,23.62584,0.02362584,23.69738,0.02369738,-0.0018473,12.7755852,-0.0003717,-0.00004364401423,-0.000008808316146,-0.00003483569809,-0.002679669084,2.679669084,0.4280811656,,,yes,no,checked survival for trial on Aug 8 mornign,,figure out why there is a 32C control take 2  (used take 2 in datafile
29,2021-8-5,4,2,A,12,former_ovigerous,uninfected,,,0,0,0,,2021-7-29,,0.018,1.2,,6,23.38182,0.02338182,23.57194,0.02357194,-0.0013816,12.7755852,0.00018799,-0.00003230432251,0.000004431289001,-0.00003673561151,-0.002040867306,2.040867306,0.3098147685,,,yes,yes,checked survival for trial on Aug 8 mornign,,
7,2021-8-6,1,3,D,12,former_ovigerous,uninfected,,,0,0,0,,2021-7-30,7,0.013,1.7,littorina_scutulata,5.1,23.59546,0.02359546,23.53666,0.02353666,-0.0019823,12.3193235,-6.48E-05,-0.00004677328036,-1.53E-06,-4.52E-05,-3.48E-03,3.48E+00,0.5416570413,,,yes,no,checked survival for trial on Aug 8 mornign,,
6,2021-8-6,2,3,C,12,former_ovigerous,uninfected,,,0,0,0,,2021-7-30,,0.011,1.3,,3.5,23.40142,0.02340142,23.37104,0.02337104,-0.0020121,12.3193235,-0.0004249,-0.00004708599718,-0.000009930354896,-0.00003715564229,-0.003377785662,3.377785662,0.5286320879,,,yes,yes,checked survival for trial on Aug 8 mornign,,
