
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.260	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.223	23.775	1004	100.000	20.950	52.533	22.309	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.197	23.133	1005	100.000	20.950	52.883	22.396	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.988	23.467	1004	100.000	20.950	52.933	22.462	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.843	23.908	1003	100.000	20.950	52.867	22.451	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Data	Smoothing:	3	
Date:	2021-08-05	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-08-05	10:03:42	0.00		263.47	264.07	262.52	262.93	12.438	12.438	12.438	12.438	1000.99	47.156	12.438	---	---	23.787	23.807	23.965	23.964	195.930	168.155	123.556	139.249	6.656	7.149	6.003	6.141	
2021-08-05	10:03:43	1.00		263.32	263.93	261.94	262.75	12.481	12.481	12.481	12.481	1000.98	47.212	12.481	---	---	23.778	23.797	23.975	23.956	195.954	168.560	124.723	139.270	6.748	7.188	6.044	6.045	
2021-08-05	10:03:44	2.00		263.19	263.55	261.88	262.57	12.522	12.522	12.522	12.522	1001.00	47.268	12.522	---	---	23.769	23.799	23.963	23.949	195.984	168.956	125.835	139.243	6.669	7.057	6.079	6.057	
2021-08-05	10:03:45	3.00		263.24	263.46	261.88	262.38	12.519	12.519	12.519	12.519	1001.00	47.268	12.519	---	---	23.768	23.805	23.964	23.959	195.987	168.965	125.841	139.236	6.833	7.235	6.302	6.322	
2021-08-05	10:03:46	4.00		263.45	263.45	261.93	262.30	12.516	12.516	12.516	12.516	1001.01	47.268	12.516	---	---	23.760	23.807	23.964	23.964	196.010	168.950	125.845	139.237	6.765	7.232	6.318	6.497	
2021-08-05	10:03:47	5.00		263.40	263.60	262.00	262.35	12.513	12.513	12.513	12.513	1000.99	47.268	12.513	---	---	23.763	23.801	23.961	23.963	196.019	168.946	125.843	139.257	6.888	7.356	6.304	6.444	
2021-08-05	10:03:48	6.00		263.48	263.52	261.97	262.38	12.506	12.506	12.506	12.506	1000.96	47.268	12.506	---	---	23.762	23.807	23.965	23.964	196.023	168.954	125.842	139.242	6.906	7.318	6.255	6.370	
2021-08-05	10:03:50	7.20		263.38	263.55	262.26	262.34	12.503	12.503	12.503	12.503	1000.96	47.268	12.503	---	---	23.768	23.807	23.953	23.967	195.989	168.945	125.834	139.218	6.709	7.166	6.058	6.161	
2021-08-05	10:03:51	8.22		263.43	263.54	262.29	262.31	12.499	12.499	12.499	12.499	1000.95	47.268	12.499	---	---	23.767	23.809	23.953	23.969	195.982	168.954	125.838	139.215	6.644	7.175	6.065	6.235	
2021-08-05	10:03:52	9.19		263.37	263.48	262.20	262.47	12.500	12.500	12.500	12.500	1000.96	47.268	12.500	---	---	23.769	23.811	23.957	23.962	195.968	168.950	125.824	139.225	6.483	7.154	6.033	6.311	
2021-08-05	10:03:53	10.23		263.31	263.46	262.12	262.64	12.500	12.500	12.500	12.500	1000.96	47.268	12.500	---	---	23.772	23.812	23.961	23.954	195.990	168.962	125.798	139.232	6.659	7.258	6.134	6.376	
2021-08-05	10:03:54	11.19		263.29	263.56	262.10	262.60	12.501	12.501	12.501	12.501	1000.97	47.268	12.501	---	---	23.772	23.807	23.961	23.956	195.984	168.954	125.792	139.228	6.644	7.124	6.123	6.300	
2021-08-05	10:03:55	12.40		263.35	263.64	262.27	262.63	12.501	12.501	12.501	12.501	1000.95	47.268	12.501	---	---	23.770	23.804	23.953	23.954	195.966	168.938	125.787	139.222	6.874	7.186	6.073	6.286	
