
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.260	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.400	1005	100.000	20.950	52.800	22.431	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.400	1005	100.000	20.950	52.800	22.431	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.400	1005	100.000	20.950	52.800	22.431	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.400	1005	100.000	20.950	52.800	22.431	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Data	Smoothing:	3	
Date:	2021-08-01	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-08-01	11:07:28	0.00		268.22	264.70	263.86	263.60	12.541	12.541	12.541	12.541	1006.45	48.554	12.541	---	---	23.474	23.630	23.668	23.679	201.518	149.975	129.230	174.419	6.532	7.112	6.047	6.424	
2021-08-01	11:07:29	1.00		267.93	264.38	263.49	263.19	12.430	12.430	12.430	12.430	1006.44	48.588	12.430	---	---	23.527	23.685	23.725	23.738	209.437	146.281	126.721	183.944	6.585	7.140	6.003	6.256	
2021-08-01	11:07:30	2.00		267.42	263.89	263.17	262.63	12.320	12.320	12.320	12.320	1006.41	48.608	12.320	---	---	23.590	23.747	23.779	23.803	217.357	142.572	124.218	193.497	6.733	7.210	6.062	6.326	
2021-08-01	11:07:31	3.00		267.33	263.93	263.20	262.53	12.319	12.319	12.319	12.319	1006.35	48.608	12.319	---	---	23.594	23.745	23.778	23.808	217.384	142.561	124.213	193.480	6.910	7.296	6.110	6.245	
2021-08-01	11:07:32	4.00		267.24	263.97	263.20	262.54	12.316	12.316	12.316	12.316	1006.35	48.595	12.316	---	---	23.599	23.744	23.780	23.809	217.384	142.557	124.224	193.504	6.988	7.280	6.152	6.302	
2021-08-01	11:07:33	5.00		267.18	263.81	263.29	262.53	12.316	12.316	12.316	12.316	1006.37	48.595	12.316	---	---	23.602	23.752	23.775	23.810	217.388	142.571	124.210	193.504	6.888	7.291	6.124	6.386	
2021-08-01	11:07:34	6.00		267.34	263.66	263.22	262.63	12.311	12.311	12.311	12.311	1006.39	48.585	12.311	---	---	23.596	23.760	23.780	23.807	217.395	142.577	124.219	193.496	6.864	7.256	6.094	6.394	
2021-08-01	11:07:35	7.00		267.23	263.50	263.11	262.52	12.316	12.316	12.316	12.316	1006.37	48.575	12.316	---	---	23.600	23.766	23.783	23.810	217.400	142.551	124.227	193.496	6.881	7.275	6.143	6.538	
2021-08-01	11:07:36	8.00		267.42	263.49	262.96	262.53	12.316	12.316	12.316	12.316	1006.36	48.565	12.316	---	---	23.591	23.767	23.790	23.809	217.379	142.530	124.228	193.510	6.922	7.271	6.166	6.443	
2021-08-01	11:07:37	9.00		267.34	263.45	263.06	262.41	12.320	12.320	12.320	12.320	1006.34	48.552	12.320	---	---	23.594	23.767	23.784	23.813	217.345	142.541	124.248	193.524	7.014	7.306	6.229	6.494	
2021-08-01	11:07:38	10.00		267.44	263.54	262.91	262.42	12.317	12.317	12.317	12.317	1006.35	48.540	12.317	---	---	23.590	23.764	23.792	23.814	217.342	142.571	124.240	193.533	7.015	7.339	6.264	6.394	
2021-08-01	11:07:39	11.00		267.40	263.76	263.05	262.36	12.313	12.313	12.313	12.313	1006.37	48.527	12.313	---	---	23.593	23.755	23.787	23.818	217.335	142.577	124.241	193.524	7.036	7.343	6.290	6.372	
2021-08-01	11:07:40	12.00		267.42	263.84	263.13	262.32	12.312	12.312	12.312	12.312	1006.39	48.517	12.312	---	---	23.592	23.752	23.784	23.820	217.356	142.567	124.202	193.524	6.924	7.320	6.250	6.366	
2021-08-01	11:07:41	13.00		267.43	263.88	263.30	262.40	12.311	12.311	12.311	12.311	1006.42	48.506	12.311	---	---	23.592	23.750	23.777	23.817	217.368	142.556	124.190	193.501	6.890	7.297	6.178	6.387	
2021-08-01	11:07:42	14.00		267.39	263.73	263.10	262.58	12.309	12.309	12.309	12.309	1006.39	48.486	12.309	---	---	23.595	23.758	23.787	23.810	217.390	142.546	124.183	193.505	6.864	7.214	6.099	6.324	
2021-08-01	11:07:43	15.00		267.37	263.81	262.95	262.71	12.306	12.306	12.306	12.306	1006.38	48.476	12.306	---	---	23.597	23.755	23.794	23.805	217.357	142.551	124.204	193.493	6.931	7.225	6.110	6.288	
2021-08-01	11:07:44	16.00		267.35	263.95	263.03	262.84	12.307	12.307	12.307	12.307	1006.35	48.466	12.307	---	---	23.598	23.749	23.790	23.799	217.322	142.545	124.192	193.502	6.996	7.274	6.152	6.286	
2021-08-01	11:07:45	17.00		267.30	264.04	263.14	262.69	12.306	12.306	12.306	12.306	1006.36	48.453	12.306	---	---	23.601	23.745	23.786	23.806	217.297	142.538	124.191	193.491	7.023	7.343	6.221	6.337	
2021-08-01	11:07:46	18.00		267.33	264.15	263.16	262.69	12.306	12.306	12.306	12.306	1006.37	48.441	12.306	---	---	23.599	23.740	23.785	23.806	217.327	142.520	124.178	193.491	6.953	7.322	6.203	6.315	
2021-08-01	11:07:47	19.00		267.35	264.08	263.04	262.60	12.305	12.305	12.305	12.305	1006.41	48.428	12.305	---	---	23.599	23.743	23.790	23.810	217.329	142.509	124.176	193.499	6.944	7.276	6.194	6.314	
2021-08-01	11:07:48	20.00		267.31	263.98	262.86	262.65	12.310	12.310	12.310	12.310	1006.42	48.428	12.310	---	---	23.599	23.747	23.797	23.806	217.311	142.509	124.180	193.488	6.893	7.281	6.156	6.244	
2021-08-01	11:07:49	21.00		267.24	263.89	262.87	262.63	12.310	12.310	12.310	12.310	1006.38	48.428	12.310	---	---	23.602	23.750	23.796	23.807	217.286	142.507	124.181	193.490	6.900	7.254	6.101	6.153	
2021-08-01	11:07:50	22.00		267.18	263.92	262.91	262.66	12.310	12.310	12.310	12.310	1006.35	48.428	12.310	---	---	23.605	23.749	23.794	23.806	217.281	142.499	124.184	193.477	6.836	7.246	6.102	6.162	
2021-08-01	11:07:51	23.00		267.26	263.83	263.06	262.71	12.309	12.309	12.309	12.309	1006.34	48.428	12.309	---	---	23.602	23.753	23.788	23.804	217.286	142.501	124.171	193.487	6.849	7.233	6.113	6.166	
2021-08-01	11:07:52	24.00		267.30	263.74	263.00	262.75	12.306	12.306	12.306	12.306	1006.37	48.428	12.306	---	---	23.601	23.759	23.792	23.803	217.292	142.495	124.162	193.499	6.918	7.301	6.230	6.356	
2021-08-01	11:07:53	25.00		267.30	263.55	263.00	262.78	12.308	12.308	12.308	12.308	1006.42	48.428	12.308	---	---	23.600	23.767	23.791	23.801	217.271	142.523	124.150	193.490	6.979	7.312	6.207	6.335	
2021-08-01	11:07:54	26.00		267.29	263.63	262.94	262.78	12.309	12.309	12.309	12.309	1006.45	48.428	12.309	---	---	23.600	23.763	23.794	23.801	217.276	142.514	124.162	193.484	7.006	7.331	6.202	6.421	
2021-08-01	11:07:55	27.00		267.44	263.81	262.99	262.89	12.309	12.309	12.309	12.309	1006.44	48.441	12.309	---	---	23.593	23.755	23.791	23.796	217.251	142.532	124.177	193.474	6.891	7.297	6.150	6.336	
2021-08-01	11:07:56	28.00		267.55	263.97	263.04	262.95	12.306	12.306	12.306	12.306	1006.42	48.453	12.306	---	---	23.589	23.748	23.790	23.794	217.275	142.531	124.205	193.479	6.864	7.301	6.174	6.343	
2021-08-01	11:07:57	29.00		267.57	263.95	263.24	262.87	12.305	12.305	12.305	12.305	1006.39	48.466	12.305	---	---	23.588	23.750	23.782	23.798	217.295	142.546	124.200	193.477	6.874	7.310	6.184	6.396	
2021-08-01	11:07:58	30.00		267.44	263.85	263.40	262.71	12.304	12.304	12.304	12.304	1006.40	48.466	12.304	---	---	23.595	23.754	23.775	23.806	217.295	142.541	124.198	193.456	6.926	7.315	6.174	6.418	
