
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.260	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.400	1005	100.000	20.950	52.800	22.431	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.400	1005	100.000	20.950	52.800	22.431	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.400	1005	100.000	20.950	52.800	22.431	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.400	1005	100.000	20.950	52.800	22.431	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Data	Smoothing:	3	
Date:	2021-08-01	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-08-01	10:27:13	0.00		269.28	265.18	264.54	263.25	12.561	12.561	12.561	12.561	1006.48	48.341	12.561	---	---	23.421	23.602	23.630	23.687	191.674	153.829	136.765	168.003	6.871	7.274	6.154	6.328	
2021-08-01	10:27:14	1.00		268.99	264.91	264.00	262.71	12.630	12.630	12.630	12.630	1006.44	48.118	12.630	---	---	23.408	23.588	23.629	23.686	192.492	153.544	135.574	168.121	6.760	7.236	6.050	6.368	
2021-08-01	10:27:15	2.00		268.82	264.56	263.61	262.41	12.695	12.695	12.695	12.695	1006.39	47.907	12.695	---	---	23.392	23.580	23.622	23.676	193.334	153.248	134.411	168.257	6.842	7.285	6.146	6.359	
2021-08-01	10:27:16	3.07		268.80	264.26	263.45	262.49	12.693	12.693	12.693	12.693	1006.38	47.919	12.693	---	---	23.394	23.594	23.631	23.673	193.345	153.244	134.428	168.243	6.859	7.306	6.123	6.316	
2021-08-01	10:27:17	4.07		268.93	264.39	263.48	262.59	12.686	12.686	12.686	12.686	1006.39	47.932	12.686	---	---	23.390	23.591	23.632	23.671	193.322	153.250	134.438	168.251	6.834	7.294	6.023	6.259	
2021-08-01	10:27:18	5.03		269.02	264.34	263.73	262.64	12.681	12.681	12.681	12.681	1006.40	47.932	12.681	---	---	23.388	23.595	23.622	23.671	193.326	153.258	134.413	168.226	6.797	7.317	6.030	6.270	
2021-08-01	10:27:19	6.01		269.05	264.41	263.76	262.60	12.679	12.679	12.679	12.679	1006.37	47.932	12.679	---	---	23.388	23.593	23.622	23.673	193.337	153.286	134.402	168.246	6.711	7.291	6.031	6.220	
2021-08-01	10:27:20	7.00		269.00	264.31	263.94	262.53	12.678	12.678	12.678	12.678	1006.35	47.942	12.678	---	---	23.390	23.597	23.614	23.677	193.355	153.263	134.418	168.241	6.683	7.200	6.140	6.229	
2021-08-01	10:27:21	8.00		268.93	264.34	263.76	262.58	12.678	12.678	12.678	12.678	1006.39	47.952	12.678	---	---	23.393	23.596	23.622	23.675	193.354	153.241	134.432	168.249	6.720	7.178	6.157	6.219	
2021-08-01	10:27:22	9.00		268.92	264.45	263.81	262.57	12.673	12.673	12.673	12.673	1006.39	47.962	12.673	---	---	23.395	23.593	23.621	23.676	193.336	153.216	134.447	168.245	6.753	7.169	6.116	6.142	
2021-08-01	10:27:23	10.00		268.95	264.58	263.82	262.76	12.670	12.670	12.670	12.670	1006.41	47.962	12.670	---	---	23.395	23.588	23.622	23.669	193.331	153.236	134.443	168.226	6.784	7.185	6.038	6.123	
2021-08-01	10:27:24	11.00		268.90	264.72	263.81	262.61	12.668	12.668	12.668	12.668	1006.39	47.985	12.668	---	---	23.398	23.583	23.623	23.677	193.309	153.240	134.449	168.233	6.781	7.171	5.983	6.062	
2021-08-01	10:27:25	12.00		268.95	264.68	264.04	262.71	12.665	12.665	12.665	12.665	1006.38	48.008	12.665	---	---	23.397	23.586	23.614	23.673	193.308	153.253	134.443	168.241	6.756	7.174	5.959	6.134	
