
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.120	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.459	22.577	1004	100.000	20.950	52.518	22.394	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.116	22.494	1004	100.000	20.950	52.799	22.454	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.409	22.445	1004	100.000	20.950	52.778	22.511	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	21.712	22.523	1004	100.000	20.950	52.699	22.518	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Data	Smoothing:	3	
Date:	2021-09-01	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-09-01	11:31:34	0.00		243.55	240.87	244.18	243.66	17.362	17.362	17.362	17.362	1006.52	41.129	17.362	---	---	22.896	23.082	22.973	23.012	237.445	132.414	130.104	186.871	6.868	7.189	6.055	6.235	
2021-09-01	11:31:35	1.00		242.78	237.74	243.43	242.94	17.396	17.396	17.396	17.396	1006.46	41.116	17.396	---	---	22.922	23.224	22.998	23.035	238.531	98.882	130.032	186.539	6.731	7.368	6.075	6.395	
2021-09-01	11:31:36	2.04		242.06	234.76	242.52	242.38	17.427	17.427	17.427	17.427	1006.49	41.103	17.427	---	---	22.947	23.359	23.031	23.052	239.620	65.325	129.949	186.218	6.820	7.334	6.120	6.354	
2021-09-01	11:31:37	3.08		242.08	234.75	242.69	242.49	17.427	17.427	17.427	17.427	1006.48	41.103	17.427	---	---	22.946	23.359	23.023	23.047	239.602	65.325	129.947	186.229	6.854	7.308	6.087	6.356	
2021-09-01	11:31:38	4.05		242.05	234.86	242.48	242.34	17.427	17.427	17.427	17.427	1006.49	41.116	17.427	---	---	22.947	23.354	23.033	23.054	239.595	65.331	129.929	186.230	6.794	7.168	6.129	6.319	
2021-09-01	11:31:39	5.01		242.09	234.86	242.62	242.22	17.428	17.428	17.428	17.428	1006.49	41.116	17.428	---	---	22.945	23.354	23.026	23.059	239.597	65.338	129.933	186.227	6.455	6.982	6.003	6.279	
2021-09-01	11:31:40	6.00		242.09	234.65	242.34	242.03	17.428	17.428	17.428	17.428	1006.50	41.116	17.428	---	---	22.945	23.365	23.039	23.069	239.605	65.330	129.933	186.225	6.381	6.830	5.826	5.962	
2021-09-01	11:31:41	7.01		242.20	234.62	242.40	242.04	17.427	17.427	17.427	17.427	1006.54	41.116	17.427	---	---	22.940	23.366	23.037	23.068	239.633	65.330	129.948	186.242	6.706	7.026	6.003	6.119	
2021-09-01	11:31:42	8.00		242.15	234.54	242.44	242.15	17.427	17.427	17.427	17.427	1006.54	41.129	17.427	---	---	22.942	23.370	23.035	23.063	239.619	65.318	129.959	186.255	6.682	7.043	6.097	6.080	
2021-09-01	11:31:43	9.00		242.14	234.61	242.48	242.27	17.428	17.428	17.428	17.428	1006.54	41.142	17.428	---	---	22.943	23.366	23.033	23.057	239.606	65.333	129.976	186.263	6.606	7.189	6.248	6.406	
2021-09-01	11:31:44	10.00		242.09	234.52	242.34	242.20	17.429	17.429	17.429	17.429	1006.54	41.142	17.429	---	---	22.945	23.371	23.039	23.060	239.587	65.329	129.985	186.258	6.553	7.095	6.031	6.264	
2021-09-01	11:31:45	11.00		242.11	234.42	242.29	242.03	17.425	17.425	17.425	17.425	1006.57	41.142	17.425	---	---	22.945	23.376	23.043	23.070	239.593	65.354	129.993	186.242	6.884	7.248	5.988	6.233	
2021-09-01	11:31:46	12.00		242.01	234.70	242.23	241.92	17.428	17.428	17.428	17.428	1006.54	41.142	17.428	---	---	22.949	23.361	23.045	23.074	239.602	65.341	129.971	186.241	7.028	7.260	6.063	6.131	
2021-09-01	11:31:47	13.00		242.02	234.62	242.41	242.10	17.428	17.428	17.428	17.428	1006.53	41.142	17.428	---	---	22.948	23.365	23.036	23.065	239.593	65.340	129.970	186.245	6.977	7.339	6.328	6.293	
2021-09-01	11:31:48	14.00		242.03	234.50	242.45	242.08	17.431	17.431	17.431	17.431	1006.49	41.142	17.431	---	---	22.947	23.371	23.034	23.065	239.594	65.331	129.969	186.254	6.920	7.351	6.404	6.329	
2021-09-01	11:31:49	15.00		241.97	234.08	242.47	242.04	17.430	17.430	17.430	17.430	1006.48	41.142	17.430	---	---	22.950	23.392	23.033	23.068	239.595	65.334	129.980	186.235	6.886	7.322	6.343	6.441	
2021-09-01	11:31:50	16.00		242.03	234.00	242.40	241.95	17.431	17.431	17.431	17.431	1006.48	41.142	17.431	---	---	22.947	23.396	23.036	23.072	239.604	65.342	129.972	186.225	6.973	7.333	6.273	6.264	
2021-09-01	11:31:51	17.00		242.05	234.19	242.30	242.10	17.432	17.432	17.432	17.432	1006.49	41.142	17.432	---	---	22.946	23.386	23.040	23.064	239.615	65.330	129.950	186.236	7.026	7.347	6.223	6.330	
2021-09-01	11:31:52	18.00		242.18	234.21	242.27	242.17	17.432	17.432	17.432	17.432	1006.51	41.142	17.432	---	---	22.939	23.385	23.042	23.060	239.613	65.328	129.956	186.245	7.055	7.351	6.276	6.322	
2021-09-01	11:31:53	19.00		242.17	234.32	242.33	242.19	17.432	17.432	17.432	17.432	1006.51	41.142	17.432	---	---	22.940	23.380	23.039	23.059	239.610	65.335	129.978	186.255	6.979	7.339	6.153	6.331	
2021-09-01	11:31:54	20.00		242.15	234.18	242.46	242.13	17.432	17.432	17.432	17.432	1006.49	41.142	17.432	---	---	22.941	23.387	23.033	23.062	239.599	65.347	130.004	186.232	6.918	7.325	6.159	6.349	
2021-09-01	11:31:55	21.00		242.06	234.41	242.47	242.15	17.431	17.431	17.431	17.431	1006.49	41.152	17.431	---	---	22.945	23.376	23.032	23.062	239.619	65.359	129.998	186.227	6.945	7.218	5.907	6.014	
2021-09-01	11:31:56	22.00		241.98	234.60	242.52	242.22	17.430	17.430	17.430	17.430	1006.48	41.162	17.430	---	---	22.949	23.366	23.030	23.058	239.621	65.333	129.983	186.228	6.912	7.202	6.065	6.269	
2021-09-01	11:31:57	23.00		242.00	234.78	242.37	242.08	17.429	17.429	17.429	17.429	1006.51	41.162	17.429	---	---	22.949	23.357	23.038	23.066	239.607	65.320	129.964	186.241	6.908	7.179	6.098	6.223	
2021-09-01	11:31:58	24.00		242.01	234.52	242.57	242.09	17.429	17.429	17.429	17.429	1006.50	41.152	17.429	---	---	22.948	23.370	23.028	23.065	239.557	65.301	129.981	186.271	6.945	7.310	6.338	6.495	
2021-09-01	11:31:59	25.00		242.07	234.38	242.40	241.93	17.430	17.430	17.430	17.430	1006.50	41.142	17.430	---	---	22.945	23.377	23.036	23.073	239.552	65.308	129.989	186.272	6.975	7.308	6.330	6.519	
2021-09-01	11:32:00	26.00		241.94	234.37	242.38	242.07	17.432	17.432	17.432	17.432	1006.49	41.142	17.432	---	---	22.951	23.377	23.037	23.065	239.559	65.321	129.977	186.264	7.013	7.332	6.101	6.293	
2021-09-01	11:32:01	27.00		242.09	234.59	242.25	242.03	17.429	17.429	17.429	17.429	1006.51	41.142	17.429	---	---	22.945	23.367	23.043	23.068	239.579	65.333	129.958	186.257	6.915	7.310	6.106	6.360	
2021-09-01	11:32:02	28.00		242.06	234.53	242.24	241.96	17.426	17.426	17.426	17.426	1006.53	41.142	17.426	---	---	22.947	23.371	23.045	23.073	239.579	65.340	129.967	186.250	6.950	7.311	5.961	6.011	
2021-09-01	11:32:03	29.00		242.08	234.32	242.33	241.91	17.426	17.426	17.426	17.426	1006.52	41.142	17.426	---	---	22.946	23.381	23.041	23.075	239.582	65.348	129.981	186.258	6.947	7.343	6.196	6.016	
2021-09-01	11:32:04	30.00		241.88	234.39	242.40	241.99	17.428	17.428	17.428	17.428	1006.51	41.142	17.428	---	---	22.955	23.377	23.037	23.071	239.582	65.345	130.003	186.247	7.040	7.360	6.192	5.949	
2021-09-01	11:32:05	31.00		241.85	234.45	242.45	242.19	17.431	17.431	17.431	17.431	1006.49	41.142	17.431	---	---	22.955	23.373	23.033	23.060	239.558	65.364	129.990	186.262	7.030	7.356	6.187	6.050	
2021-09-01	11:32:06	32.00		241.91	234.60	242.46	242.23	17.430	17.430	17.430	17.430	1006.49	41.142	17.430	---	---	22.953	23.366	23.033	23.058	239.564	65.356	129.990	186.281	7.015	7.314	6.119	6.250	
2021-09-01	11:32:07	33.00		241.96	234.37	242.33	242.19	17.431	17.431	17.431	17.431	1006.49	41.142	17.431	---	---	22.950	23.377	23.039	23.060	239.570	65.365	129.961	186.283	7.024	7.333	6.109	6.281	
2021-09-01	11:32:08	34.00		241.96	234.22	242.41	242.06	17.431	17.431	17.431	17.431	1006.50	41.142	17.431	---	---	22.950	23.384	23.035	23.066	239.593	65.349	129.955	186.275	7.068	7.361	6.246	6.373	
2021-09-01	11:32:09	35.00		241.91	234.06	242.29	242.02	17.432	17.432	17.432	17.432	1006.50	41.142	17.432	---	---	22.952	23.392	23.040	23.068	239.582	65.363	129.974	186.250	7.132	7.402	6.114	6.126	
