
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.260	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.223	23.775	1004	100.000	20.950	52.533	22.309	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.197	23.133	1005	100.000	20.950	52.883	22.396	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.988	23.467	1004	100.000	20.950	52.933	22.462	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.843	23.908	1003	100.000	20.950	52.867	22.451	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Data	Smoothing:	3	
Date:	2021-08-05	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-08-05	11:42:24	0.00		256.25	254.98	256.06	256.16	14.437	14.437	14.437	14.437	1000.92	47.621	14.437	---	---	23.417	23.519	23.557	23.570	191.796	165.340	122.206	135.462	6.862	7.294	6.136	6.044	
2021-08-05	11:42:25	1.00		251.54	251.47	251.97	251.79	15.919	15.919	15.919	15.919	1000.90	47.304	15.919	---	---	23.121	23.167	23.231	23.257	188.949	163.201	119.700	133.830	7.187	7.443	6.373	6.223	
2021-08-05	11:42:26	2.00		247.08	248.21	247.71	247.42	17.399	17.399	17.399	17.399	1000.86	46.986	17.399	---	---	22.815	22.803	22.913	22.944	186.100	161.045	117.158	132.222	6.987	7.324	6.199	5.970	
2021-08-05	11:42:28	4.36		247.01	248.20	247.81	247.53	17.394	17.394	17.394	17.394	1000.83	46.976	17.394	---	---	22.820	22.805	22.910	22.941	186.116	161.021	117.147	132.203	6.911	7.249	6.119	6.131	
2021-08-05	11:42:29	5.32		247.05	248.28	247.85	247.58	17.390	17.390	17.390	17.390	1000.80	46.965	17.390	---	---	22.820	22.803	22.909	22.939	186.101	161.009	117.129	132.204	6.804	7.241	6.114	6.128	
2021-08-05	11:42:30	6.29		247.02	248.34	247.79	247.50	17.387	17.387	17.387	17.387	1000.81	46.955	17.387	---	---	22.822	22.801	22.913	22.945	186.105	161.014	117.162	132.203	6.704	7.152	6.391	6.516	
2021-08-05	11:42:31	7.27		247.14	248.43	247.98	247.54	17.381	17.381	17.381	17.381	1000.82	46.955	17.381	---	---	22.818	22.799	22.906	22.945	186.127	160.996	117.144	132.195	6.309	6.878	6.071	6.133	
2021-08-05	11:42:32	8.22		247.19	248.35	248.00	247.61	17.379	17.379	17.379	17.379	1000.82	46.955	17.379	---	---	22.817	22.803	22.906	22.942	186.136	160.992	117.150	132.207	5.962	6.666	5.721	5.686	
2021-08-05	11:42:33	9.19		247.28	248.09	248.08	247.58	17.378	17.378	17.378	17.378	1000.78	46.955	17.378	---	---	22.813	22.816	22.903	22.944	186.147	160.973	117.131	132.176	6.164	6.788	5.329	5.191	
2021-08-05	11:42:34	10.19		247.32	248.01	247.98	247.52	17.375	17.375	17.375	17.375	1000.76	46.955	17.375	---	---	22.812	22.820	22.908	22.948	186.121	160.975	117.152	132.177	6.279	6.965	5.556	5.535	
2021-08-05	11:42:35	11.18		247.32	248.02	247.97	247.51	17.372	17.372	17.372	17.372	1000.77	46.955	17.372	---	---	22.813	22.821	22.910	22.949	186.107	160.983	117.136	132.157	6.385	7.164	5.784	5.874	
2021-08-05	11:42:36	12.16		247.41	248.08	247.88	247.64	17.369	17.369	17.369	17.369	1000.80	46.955	17.369	---	---	22.810	22.819	22.915	22.944	186.098	160.976	117.130	132.189	6.420	7.145	5.986	5.986	
2021-08-05	11:42:54	0.00		247.38	248.08	247.62	247.49	17.382	17.382	17.382	17.382	1000.83	46.919	17.382	---	---	22.807	22.815	22.923	22.947	186.083	160.979	117.116	132.168	6.442	6.929	5.924	5.798	
2021-08-05	11:42:55	1.00		247.39	248.15	247.49	247.60	17.392	17.392	17.392	17.392	1000.84	46.884	17.392	---	---	22.803	22.808	22.926	22.938	186.085	160.967	117.153	132.183	6.705	6.924	5.991	5.879	
2021-08-05	11:42:56	2.00		247.35	248.06	247.73	247.46	17.400	17.400	17.400	17.400	1000.86	46.848	17.400	---	---	22.803	22.810	22.912	22.942	186.075	160.976	117.163	132.164	6.840	7.024	6.134	6.065	
2021-08-05	11:42:57	3.10		247.30	248.14	247.69	247.57	17.395	17.395	17.395	17.395	1000.85	46.848	17.395	---	---	22.806	22.808	22.915	22.939	186.107	160.982	117.165	132.168	7.032	7.317	6.277	6.376	
2021-08-05	11:42:58	4.18		247.30	248.19	248.13	247.42	17.389	17.389	17.389	17.389	1000.88	46.848	17.389	---	---	22.808	22.807	22.897	22.948	186.098	160.988	117.136	132.147	6.809	7.154	6.056	6.189	
2021-08-05	11:42:59	5.17		247.28	248.25	247.99	247.60	17.384	17.384	17.384	17.384	1000.85	46.848	17.384	---	---	22.811	22.806	22.905	22.941	186.105	160.991	117.138	132.163	6.694	7.069	5.905	6.020	
2021-08-05	11:43:00	6.21		247.32	248.31	248.34	247.69	17.378	17.378	17.378	17.378	1000.87	46.848	17.378	---	---	22.811	22.805	22.891	22.939	186.085	160.989	117.126	132.187	6.617	6.935	5.714	5.772	
2021-08-05	11:43:02	7.32		247.33	248.19	248.02	247.64	17.375	17.375	17.375	17.375	1000.82	46.848	17.375	---	---	22.811	22.812	22.906	22.942	186.111	160.976	117.130	132.202	6.803	7.093	5.903	5.973	
2021-08-05	11:43:03	8.29		247.21	248.31	248.01	247.37	17.375	17.375	17.375	17.375	1000.83	46.848	17.375	---	---	22.817	22.806	22.907	22.955	186.101	160.955	117.128	132.182	6.914	7.180	5.998	6.124	
2021-08-05	11:43:04	9.34		247.24	248.35	247.96	247.37	17.374	17.374	17.374	17.374	1000.79	46.848	17.374	---	---	22.816	22.805	22.909	22.955	186.092	160.936	117.136	132.184	6.765	7.255	6.109	6.321	
2021-08-05	11:43:05	10.32		247.26	248.42	247.73	247.56	17.372	17.372	17.372	17.372	1000.82	46.848	17.372	---	---	22.816	22.802	22.921	22.947	186.072	160.925	117.142	132.155	6.722	7.256	6.157	6.288	
2021-08-05	11:43:06	11.29		247.29	248.37	247.89	247.80	17.370	17.370	17.370	17.370	1000.79	46.861	17.370	---	---	22.815	22.805	22.914	22.936	186.072	160.931	117.132	132.151	6.705	7.259	6.175	6.295	
2021-08-05	11:43:07	12.25		247.17	248.26	247.77	247.84	17.370	17.370	17.370	17.370	1000.81	46.873	17.370	---	---	22.821	22.810	22.920	22.934	186.080	160.939	117.129	132.133	6.705	7.172	6.079	6.248	
2021-08-05	11:43:08	13.26		247.07	248.32	247.88	247.59	17.370	17.370	17.370	17.370	1000.77	46.886	17.370	---	---	22.826	22.808	22.915	22.947	186.098	160.945	117.124	132.153	6.567	7.100	6.017	6.118	
2021-08-05	11:43:09	14.22		247.05	248.28	247.94	247.43	17.370	17.370	17.370	17.370	1000.81	46.886	17.370	---	---	22.826	22.809	22.912	22.954	186.127	160.955	117.127	132.149	6.556	7.114	6.034	6.179	
2021-08-05	11:43:10	15.26		246.98	248.23	248.06	247.49	17.367	17.367	17.367	17.367	1000.82	46.886	17.367	---	---	22.830	22.813	22.907	22.952	186.148	160.949	117.137	132.145	6.583	7.143	6.119	6.027	
2021-08-05	11:43:11	16.23		247.13	248.14	248.37	247.56	17.366	17.366	17.366	17.366	1000.85	46.886	17.366	---	---	22.824	22.817	22.893	22.949	186.126	160.929	117.109	132.126	6.599	7.161	6.144	6.139	
2021-08-05	11:43:12	17.25		247.43	248.14	248.23	247.56	17.362	17.362	17.362	17.362	1000.86	46.886	17.362	---	---	22.811	22.819	22.901	22.950	186.102	160.895	117.106	132.129	6.436	7.067	6.045	6.114	
2021-08-05	11:43:12	18.21		247.57	248.25	248.21	247.52	17.362	17.362	17.362	17.362	1000.86	46.896	17.362	---	---	22.804	22.814	22.902	22.952	186.081	160.897	117.084	132.136	6.644	7.179	6.142	6.245	
2021-08-05	11:43:13	19.16		247.45	248.31	248.09	247.59	17.361	17.361	17.361	17.361	1000.84	46.907	17.361	---	---	22.810	22.811	22.908	22.949	186.086	160.891	117.112	132.148	6.811	7.158	6.037	6.112	
2021-08-05	11:43:15	20.21		247.19	248.41	248.03	247.67	17.364	17.364	17.364	17.364	1000.81	46.917	17.364	---	---	22.822	22.805	22.910	22.945	186.094	160.897	117.127	132.145	6.826	7.165	6.047	5.969	
2021-08-05	11:43:16	21.22		247.25	248.39	247.98	247.52	17.363	17.363	17.363	17.363	1000.78	46.917	17.363	---	---	22.819	22.806	22.912	22.952	186.108	160.867	117.141	132.113	6.571	6.978	5.849	5.780	
2021-08-05	11:43:16	22.19		247.37	248.39	247.83	247.49	17.364	17.364	17.364	17.364	1000.80	46.917	17.364	---	---	22.813	22.806	22.919	22.953	186.107	160.871	117.128	132.099	6.326	6.934	5.818	5.782	
2021-08-05	11:43:17	23.16		247.56	248.32	247.90	247.58	17.362	17.362	17.362	17.362	1000.81	46.917	17.362	---	---	22.805	22.810	22.916	22.949	186.086	160.860	117.108	132.107	6.462	7.046	5.740	5.700	
2021-08-05	11:43:19	24.24		247.42	248.35	247.85	247.69	17.362	17.362	17.362	17.362	1000.85	46.917	17.362	---	---	22.812	22.809	22.919	22.944	186.060	160.860	117.098	132.110	6.757	7.211	5.887	5.933	
2021-08-05	11:43:19	25.20		247.35	248.35	247.64	247.76	17.361	17.361	17.361	17.361	1000.87	46.917	17.361	---	---	22.815	22.809	22.929	22.941	186.051	160.867	117.116	132.115	6.816	7.365	5.951	6.136	
2021-08-05	11:43:21	26.29		247.24	248.29	247.71	247.59	17.362	17.362	17.362	17.362	1000.86	46.917	17.362	---	---	22.820	22.812	22.925	22.949	186.051	160.874	117.113	132.088	6.738	7.254	6.153	6.378	
2021-08-05	11:43:22	27.27		247.35	248.42	247.69	247.77	17.362	17.362	17.362	17.362	1000.84	46.917	17.362	---	---	22.815	22.806	22.926	22.941	186.055	160.863	117.108	132.083	6.461	7.200	6.125	6.224	
2021-08-05	11:43:23	28.23		247.48	248.46	248.23	247.59	17.361	17.361	17.361	17.361	1000.82	46.907	17.361	---	---	22.809	22.804	22.901	22.949	186.069	160.839	117.095	132.098	6.460	7.030	6.091	5.975	
2021-08-05	11:43:23	29.20		247.36	248.52	248.24	247.57	17.362	17.362	17.362	17.362	1000.86	46.896	17.362	---	---	22.814	22.801	22.900	22.950	186.072	160.836	117.093	132.103	6.573	7.134	6.043	6.021	
2021-08-05	11:43:24	30.15		247.39	248.32	248.48	247.47	17.360	17.360	17.360	17.360	1000.88	46.886	17.360	---	---	22.813	22.811	22.889	22.955	186.087	160.856	117.112	132.116	6.692	7.184	6.116	6.167	
2021-08-05	11:43:25	31.17		247.37	248.16	248.40	247.71	17.359	17.359	17.359	17.359	1000.83	46.873	17.359	---	---	22.815	22.819	22.893	22.944	186.057	160.869	117.106	132.113	6.669	7.253	6.073	6.142	
2021-08-05	11:43:27	32.25		247.42	248.17	248.22	247.68	17.360	17.360	17.360	17.360	1000.83	46.861	17.360	---	---	22.812	22.818	22.902	22.945	186.063	160.881	117.103	132.118	6.668	7.258	6.124	6.105	
2021-08-05	11:43:28	33.28		247.32	248.25	248.12	247.72	17.362	17.362	17.362	17.362	1000.80	46.848	17.362	---	---	22.816	22.814	22.906	22.942	186.054	160.879	117.080	132.107	6.781	7.277	6.143	6.126	
2021-08-05	11:43:29	34.24		247.18	248.38	248.16	247.70	17.365	17.365	17.365	17.365	1000.85	46.848	17.365	---	---	22.822	22.806	22.903	22.943	186.062	160.862	117.069	132.083	6.837	7.263	6.272	6.326	
2021-08-05	11:43:29	35.19		247.25	248.37	248.40	247.95	17.362	17.362	17.362	17.362	1000.83	46.838	17.362	---	---	22.819	22.807	22.893	22.932	186.054	160.846	117.078	132.085	6.850	7.254	6.220	6.334	
2021-08-05	11:43:31	36.26		247.30	248.27	248.42	247.91	17.364	17.364	17.364	17.364	1000.83	46.828	17.364	---	---	22.816	22.812	22.891	22.933	186.028	160.829	117.080	132.093	6.770	7.235	6.088	6.162	
2021-08-05	11:43:32	37.22		247.41	248.24	248.24	247.87	17.363	17.363	17.363	17.363	1000.83	46.818	17.363	---	---	22.812	22.814	22.900	22.936	186.039	160.846	117.100	132.097	6.699	7.315	6.104	6.160	
2021-08-05	11:43:32	38.18		247.37	248.20	248.19	247.85	17.365	17.365	17.365	17.365	1000.85	46.818	17.365	---	---	22.813	22.815	22.901	22.936	186.031	160.855	117.100	132.095	6.652	7.331	6.163	6.226	
2021-08-05	11:43:33	39.14		247.36	248.24	248.22	247.70	17.363	17.363	17.363	17.363	1000.86	46.795	17.363	---	---	22.814	22.813	22.901	22.944	186.033	160.884	117.109	132.106	6.802	7.383	6.339	6.424	
2021-08-05	11:43:34	40.10		247.30	248.41	248.23	247.65	17.360	17.360	17.360	17.360	1000.84	46.772	17.360	---	---	22.818	22.806	22.901	22.947	186.051	160.860	117.120	132.110	6.856	7.240	6.192	6.130	
2021-08-05	11:43:35	41.07		247.29	248.39	248.29	247.76	17.357	17.357	17.357	17.357	1000.80	46.749	17.357	---	---	22.819	22.809	22.899	22.942	186.069	160.859	117.117	132.114	6.941	7.259	6.207	6.070	
2021-08-05	11:43:36	42.02		247.37	248.41	248.37	247.96	17.357	17.357	17.357	17.357	1000.79	46.749	17.357	---	---	22.816	22.808	22.896	22.932	186.093	160.842	117.117	132.110	6.834	7.213	6.142	6.098	
2021-08-05	11:43:37	43.00		247.35	248.16	248.51	247.92	17.360	17.360	17.360	17.360	1000.81	46.749	17.360	---	---	22.815	22.818	22.888	22.934	186.074	160.875	117.092	132.110	7.063	7.371	6.334	6.317	
2021-08-05	11:43:38	44.00		247.35	248.22	248.49	247.78	17.364	17.364	17.364	17.364	1000.83	46.749	17.364	---	---	22.814	22.814	22.888	22.939	186.054	160.869	117.073	132.116	6.767	7.317	6.255	6.169	
2021-08-05	11:43:39	45.00		247.31	248.13	248.30	247.49	17.363	17.363	17.363	17.363	1000.83	46.749	17.363	---	---	22.817	22.819	22.897	22.953	186.060	160.872	117.054	132.113	6.791	7.330	6.305	6.154	
2021-08-05	11:43:40	46.00		247.39	248.12	248.21	247.44	17.363	17.363	17.363	17.363	1000.80	46.749	17.363	---	---	22.813	22.819	22.901	22.956	186.054	160.879	117.064	132.131	6.447	7.271	6.176	6.231	
2021-08-05	11:43:41	47.08		247.40	248.17	248.27	247.40	17.363	17.363	17.363	17.363	1000.78	46.749	17.363	---	---	22.812	22.817	22.898	22.957	186.057	160.874	117.073	132.126	6.715	7.262	6.059	6.140	
2021-08-05	11:43:42	48.16		247.34	248.28	248.62	247.58	17.365	17.365	17.365	17.365	1000.78	46.749	17.365	---	---	22.814	22.811	22.881	22.948	186.035	160.857	117.091	132.097	6.702	7.269	5.965	6.042	
2021-08-05	11:43:44	49.21		247.19	248.29	248.57	247.62	17.365	17.365	17.365	17.365	1000.83	46.739	17.365	---	---	22.821	22.811	22.884	22.947	186.054	160.827	117.080	132.078	7.024	7.343	6.120	6.143	
