
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.120	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.459	22.577	1004	100.000	20.950	52.518	22.394	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.116	22.494	1004	100.000	20.950	52.799	22.454	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.409	22.445	1004	100.000	20.950	52.778	22.511	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	21.712	22.523	1004	100.000	20.950	52.699	22.518	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Data	Smoothing:	3	
Date:	2021-09-01	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-09-01	11:23:03	0.00		255.21	253.47	254.64	255.42	14.012	14.012	14.012	14.012	1006.66	41.732	14.012	---	---	23.519	23.656	23.655	23.632	243.477	216.818	134.433	193.189	6.780	7.148	6.046	6.039	
2021-09-01	11:23:04	1.00		250.07	248.64	249.65	249.84	15.657	15.657	15.657	15.657	1006.58	41.467	15.657	---	---	23.185	23.307	23.313	23.318	239.828	191.315	132.339	190.208	6.807	7.175	6.108	5.925	
2021-09-01	11:23:05	2.10		244.95	243.90	244.95	244.45	17.302	17.302	17.302	17.302	1006.50	41.193	17.302	---	---	22.849	22.954	22.957	22.995	236.221	165.803	130.229	187.272	6.585	7.145	6.100	5.997	
2021-09-01	11:23:07	3.39		244.92	244.03	244.88	244.44	17.302	17.302	17.302	17.302	1006.46	41.182	17.302	---	---	22.851	22.947	22.960	22.995	236.236	165.773	130.230	187.277	6.363	7.146	6.056	6.222	
2021-09-01	11:23:08	4.73		244.91	244.03	244.82	244.59	17.305	17.305	17.305	17.305	1006.49	41.172	17.305	---	---	22.851	22.947	22.962	22.987	236.273	165.782	130.236	187.314	6.648	7.343	6.266	6.499	
2021-09-01	11:23:09	5.84		244.88	244.01	244.82	244.58	17.304	17.304	17.304	17.304	1006.53	41.172	17.304	---	---	22.852	22.948	22.962	22.988	236.265	165.796	130.231	187.294	6.665	7.322	6.085	6.362	
2021-09-01	11:23:10	6.81		244.92	243.92	244.90	244.60	17.303	17.303	17.303	17.303	1006.56	41.172	17.303	---	---	22.851	22.952	22.959	22.987	236.242	165.831	130.222	187.286	6.589	7.167	5.991	6.157	
2021-09-01	11:23:11	7.93		244.92	243.92	244.92	244.67	17.299	17.299	17.299	17.299	1006.55	41.172	17.299	---	---	22.852	22.954	22.959	22.985	236.221	165.819	130.205	187.261	6.402	7.079	5.847	5.926	
2021-09-01	11:23:12	8.89		244.99	243.93	245.00	244.72	17.298	17.298	17.298	17.298	1006.54	41.172	17.298	---	---	22.849	22.954	22.956	22.983	236.234	165.819	130.219	187.276	6.278	7.065	5.975	5.898	
2021-09-01	11:23:13	9.85		244.90	244.01	244.93	244.76	17.298	17.298	17.298	17.298	1006.52	41.172	17.298	---	---	22.853	22.950	22.959	22.981	236.249	165.791	130.217	187.280	6.530	7.240	6.047	6.135	
2021-09-01	11:23:14	10.81		244.94	244.10	244.95	244.75	17.298	17.298	17.298	17.298	1006.52	41.162	17.298	---	---	22.851	22.946	22.958	22.982	236.233	165.798	130.194	187.277	6.580	7.194	6.156	6.043	
2021-09-01	11:23:15	11.84		244.83	244.14	244.83	244.67	17.298	17.298	17.298	17.298	1006.53	41.152	17.298	---	---	22.856	22.944	22.964	22.985	236.228	165.799	130.178	187.271	6.841	7.245	6.240	6.228	
2021-09-01	11:23:16	12.80		244.93	244.06	244.88	244.58	17.299	17.299	17.299	17.299	1006.58	41.142	17.299	---	---	22.851	22.947	22.961	22.990	236.224	165.806	130.202	187.261	6.837	7.241	6.265	6.213	
2021-09-01	11:23:17	13.77		244.90	243.97	245.01	244.59	17.296	17.296	17.296	17.296	1006.54	41.142	17.296	---	---	22.854	22.952	22.956	22.990	236.257	165.797	130.216	187.265	6.987	7.353	6.259	6.485	
2021-09-01	11:23:18	14.78		245.00	243.87	245.01	244.61	17.298	17.298	17.298	17.298	1006.50	41.142	17.298	---	---	22.849	22.956	22.955	22.988	236.238	165.787	130.216	187.261	6.871	7.182	6.281	6.315	
2021-09-01	11:23:19	15.84		244.95	243.83	244.97	244.64	17.297	17.297	17.297	17.297	1006.46	41.142	17.297	---	---	22.851	22.958	22.957	22.987	236.237	165.792	130.213	187.276	6.919	7.176	6.308	6.281	
2021-09-01	11:23:20	16.81		245.02	243.76	244.91	244.45	17.302	17.302	17.302	17.302	1006.51	41.142	17.302	---	---	22.846	22.960	22.959	22.994	236.224	165.815	130.225	187.261	6.777	7.188	6.337	6.300	
2021-09-01	11:23:21	17.83		244.92	243.83	244.96	244.53	17.304	17.304	17.304	17.304	1006.55	41.142	17.304	---	---	22.850	22.956	22.956	22.990	236.217	165.816	130.237	187.246	6.573	7.178	6.114	6.196	
2021-09-01	11:23:22	18.79		244.90	243.82	245.05	244.49	17.304	17.304	17.304	17.304	1006.55	41.142	17.304	---	---	22.851	22.957	22.951	22.992	236.209	165.829	130.227	187.228	6.590	7.184	6.075	6.266	
2021-09-01	11:23:23	19.76		244.79	243.93	245.09	244.55	17.304	17.304	17.304	17.304	1006.53	41.142	17.304	---	---	22.856	22.952	22.950	22.989	236.194	165.821	130.200	187.234	6.695	7.144	6.069	6.299	
2021-09-01	11:23:24	20.72		244.85	243.88	245.01	244.52	17.300	17.300	17.300	17.300	1006.52	41.142	17.300	---	---	22.855	22.955	22.955	22.992	236.208	165.815	130.186	187.223	6.913	7.340	6.145	6.471	
2021-09-01	11:23:25	21.69		244.97	244.05	244.81	244.65	17.301	17.301	17.301	17.301	1006.53	41.142	17.301	---	---	22.849	22.947	22.964	22.985	236.210	165.792	130.171	187.226	6.510	7.110	5.905	6.165	
2021-09-01	11:23:26	22.66		245.04	243.99	244.77	244.72	17.300	17.300	17.300	17.300	1006.54	41.142	17.300	---	---	22.846	22.950	22.966	22.982	236.227	165.789	130.196	187.224	6.311	7.099	5.912	5.844	
2021-09-01	11:23:27	23.62		245.00	244.03	244.86	244.85	17.298	17.298	17.298	17.298	1006.55	41.142	17.298	---	---	22.848	22.949	22.962	22.977	236.231	165.809	130.210	187.248	6.296	6.984	5.886	5.633	
2021-09-01	11:23:28	24.59		244.90	243.86	244.99	244.88	17.298	17.298	17.298	17.298	1006.55	41.142	17.298	---	---	22.853	22.957	22.956	22.976	236.235	165.807	130.216	187.274	6.443	7.052	6.119	5.981	
2021-09-01	11:23:29	25.55		244.76	243.79	244.95	244.89	17.299	17.299	17.299	17.299	1006.53	41.142	17.299	---	---	22.859	22.960	22.958	22.975	236.218	165.833	130.194	187.266	6.396	6.918	5.946	6.028	
2021-09-01	11:23:30	26.50		244.83	243.75	244.97	244.81	17.302	17.302	17.302	17.302	1006.50	41.142	17.302	---	---	22.855	22.961	22.956	22.978	236.219	165.826	130.185	187.243	6.553	7.044	6.183	6.311	
2021-09-01	11:23:31	27.47		244.79	243.87	245.06	244.65	17.303	17.303	17.303	17.303	1006.52	41.142	17.303	---	---	22.857	22.955	22.951	22.985	236.219	165.845	130.199	187.211	6.771	7.194	6.217	6.261	
2021-09-01	11:23:32	28.43		244.89	243.92	244.96	244.60	17.302	17.302	17.302	17.302	1006.56	41.142	17.302	---	---	22.853	22.953	22.956	22.988	236.236	165.824	130.216	187.220	7.119	7.384	6.418	6.467	
2021-09-01	11:23:33	29.40		244.79	243.87	245.03	244.50	17.302	17.302	17.302	17.302	1006.58	41.142	17.302	---	---	22.857	22.955	22.953	22.992	236.247	165.831	130.222	187.247	7.162	7.411	6.395	6.473	
2021-09-01	11:23:34	30.37		244.74	243.80	245.06	244.47	17.300	17.300	17.300	17.300	1006.57	41.142	17.300	---	---	22.860	22.959	22.952	22.994	236.267	165.815	130.209	187.246	7.130	7.431	6.375	6.462	
2021-09-01	11:23:35	31.33		244.63	244.04	245.25	244.49	17.303	17.303	17.303	17.303	1006.53	41.142	17.303	---	---	22.864	22.947	22.942	22.992	236.254	165.814	130.213	187.247	6.863	7.375	6.340	6.466	
2021-09-01	11:23:36	32.33		244.65	244.16	245.14	244.51	17.302	17.302	17.302	17.302	1006.53	41.142	17.302	---	---	22.864	22.941	22.948	22.992	236.228	165.823	130.200	187.225	6.817	7.324	6.292	6.468	
2021-09-01	11:23:37	33.29		244.77	244.29	245.10	244.63	17.302	17.302	17.302	17.302	1006.55	41.142	17.302	---	---	22.858	22.935	22.950	22.986	236.212	165.834	130.213	187.224	6.536	7.186	6.257	6.222	
2021-09-01	11:23:38	34.30		244.91	244.24	245.09	244.82	17.297	17.297	17.297	17.297	1006.55	41.142	17.297	---	---	22.853	22.939	22.952	22.979	236.191	165.839	130.186	187.235	6.488	7.076	6.076	5.934	
2021-09-01	11:23:39	35.27		244.92	244.19	245.15	244.82	17.296	17.296	17.296	17.296	1006.56	41.152	17.296	---	---	22.853	22.942	22.949	22.979	236.186	165.827	130.187	187.224	6.122	6.879	5.836	5.844	
2021-09-01	11:23:40	36.28		244.96	244.10	245.23	244.71	17.297	17.297	17.297	17.297	1006.53	41.162	17.297	---	---	22.851	22.946	22.945	22.984	236.179	165.827	130.165	187.220	6.367	6.840	5.579	5.693	
2021-09-01	11:23:41	37.29		244.89	244.00	245.12	244.43	17.297	17.297	17.297	17.297	1006.54	41.162	17.297	---	---	22.854	22.950	22.950	22.997	236.217	165.818	130.191	187.209	6.595	6.943	5.823	5.993	
2021-09-01	11:23:42	38.25		244.93	243.96	244.94	244.47	17.300	17.300	17.300	17.300	1006.54	41.162	17.300	---	---	22.851	22.952	22.958	22.994	236.209	165.810	130.184	187.223	6.644	6.944	5.811	5.711	
2021-09-01	11:23:43	39.27		244.91	243.95	244.88	244.58	17.298	17.298	17.298	17.298	1006.57	41.162	17.298	---	---	22.853	22.953	22.961	22.990	236.209	165.802	130.190	187.221	6.675	7.109	6.140	6.107	
2021-09-01	11:23:44	40.23		244.90	243.95	244.89	244.71	17.300	17.300	17.300	17.300	1006.56	41.172	17.300	---	---	22.852	22.952	22.960	22.983	236.195	165.820	130.183	187.216	6.705	7.152	6.104	6.129	
2021-09-01	11:23:45	41.18		244.87	243.86	244.88	244.88	17.298	17.298	17.298	17.298	1006.55	41.172	17.298	---	---	22.854	22.957	22.961	22.975	236.215	165.817	130.181	187.206	7.046	7.362	6.355	6.457	
2021-09-01	11:23:46	42.14		244.86	243.95	244.90	244.78	17.298	17.298	17.298	17.298	1006.54	41.172	17.298	---	---	22.855	22.953	22.960	22.980	236.203	165.807	130.186	187.224	6.665	7.099	6.113	6.335	
2021-09-01	11:23:46	43.10		244.96	244.01	244.98	244.80	17.297	17.297	17.297	17.297	1006.54	41.172	17.297	---	---	22.851	22.950	22.957	22.980	236.193	165.786	130.177	187.221	6.415	6.877	5.850	6.003	
2021-09-01	11:23:47	44.07		244.92	244.10	245.12	244.54	17.299	17.299	17.299	17.299	1006.51	41.172	17.299	---	---	22.852	22.945	22.950	22.991	236.193	165.784	130.179	187.232	6.333	6.867	5.666	5.825	
