
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.120	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.459	22.577	1004	100.000	20.950	52.518	22.394	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.116	22.494	1004	100.000	20.950	52.799	22.454	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.409	22.445	1004	100.000	20.950	52.778	22.511	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	21.712	22.523	1004	100.000	20.950	52.699	22.518	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Data	Smoothing:	3	
Date:	2021-08-28	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-08-28	13:07:23	0.00		230.14	231.14	227.60	231.95	19.167	19.167	19.167	19.167	1008.92	47.202	19.167	---	---	22.993	22.999	23.228	23.026	161.965	222.392	158.388	216.217	6.905	7.453	6.447	6.646	
2021-08-28	13:07:24	1.00		223.31	223.58	221.56	223.61	20.780	20.780	20.780	20.780	1008.74	47.242	20.780	---	---	22.834	22.876	23.030	22.943	159.361	221.568	153.656	209.490	6.952	7.270	6.427	6.423	
2021-08-28	13:07:25	2.00		216.40	215.91	215.48	215.48	22.396	22.396	22.396	22.396	1008.54	47.273	22.396	---	---	22.679	22.758	22.834	22.848	156.802	220.747	148.947	202.763	6.528	7.037	6.082	6.043	
2021-08-28	13:07:26	3.00		216.38	215.79	215.54	215.32	22.393	22.393	22.393	22.393	1008.47	47.273	22.393	---	---	22.681	22.765	22.832	22.857	156.824	220.784	148.975	202.776	6.093	6.895	6.159	6.047	
2021-08-28	13:07:27	4.00		216.27	215.59	215.49	215.44	22.393	22.393	22.393	22.393	1008.48	47.263	22.393	---	---	22.687	22.776	22.834	22.851	156.854	220.776	148.976	202.802	6.007	6.821	5.987	6.035	
2021-08-28	13:07:28	5.00		216.28	215.52	215.57	215.48	22.395	22.395	22.395	22.395	1008.47	47.263	22.395	---	---	22.686	22.779	22.829	22.848	156.842	220.802	148.941	202.777	5.974	6.824	5.944	5.929	
2021-08-28	13:07:29	6.00		216.26	215.60	215.72	215.55	22.394	22.394	22.394	22.394	1008.50	47.253	22.394	---	---	22.687	22.775	22.822	22.845	156.846	220.815	148.939	202.778	6.221	7.000	5.842	5.964	
2021-08-28	13:07:30	7.00		216.37	215.62	215.67	215.52	22.392	22.392	22.392	22.392	1008.49	47.253	22.392	---	---	22.682	22.775	22.825	22.847	156.857	220.816	148.937	202.768	6.314	7.123	5.969	5.923	
2021-08-28	13:07:31	8.00		216.37	215.71	215.49	215.52	22.391	22.391	22.391	22.391	1008.52	47.253	22.391	---	---	22.682	22.771	22.835	22.847	156.897	220.820	148.979	202.792	6.579	7.463	6.326	6.349	
2021-08-28	13:07:32	9.00		216.36	215.67	215.43	215.49	22.389	22.389	22.389	22.389	1008.53	47.253	22.389	---	---	22.683	22.773	22.839	22.850	156.900	220.771	148.971	202.774	6.776	7.422	6.337	6.344	
2021-08-28	13:07:33	10.00		216.34	215.78	215.37	215.49	22.390	22.390	22.390	22.390	1008.54	47.253	22.390	---	---	22.684	22.767	22.842	22.849	156.903	220.744	148.970	202.795	7.076	7.532	6.492	6.661	
2021-08-28	13:07:34	11.00		216.32	215.76	215.50	215.43	22.393	22.393	22.393	22.393	1008.53	47.253	22.393	---	---	22.684	22.767	22.834	22.852	156.890	220.717	148.934	202.801	7.138	7.371	6.510	6.651	
2021-08-28	13:07:35	12.00		216.39	215.86	215.39	215.61	22.393	22.393	22.393	22.393	1008.53	47.253	22.393	---	---	22.680	22.762	22.839	22.842	156.910	220.766	148.913	202.808	7.032	7.409	6.496	6.613	
