
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	34.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	34.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	34.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	34.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.260	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.223	23.775	1004	100.000	20.950	52.533	22.309	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.197	23.133	1005	100.000	20.950	52.883	22.396	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.988	23.467	1004	100.000	20.950	52.933	22.462	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.843	23.908	1003	100.000	20.950	52.867	22.451	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Data	Smoothing:	3	
Date:	2021-08-08	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-08-08	13:23:32	0.00		217.84	217.42	217.47	217.11	22.431	22.431	22.431	22.431	1005.30	46.500	22.431	---	---	22.552	22.615	22.698	22.735	235.834	254.258	145.737	160.431	6.927	7.258	6.115	6.124	
2021-08-08	13:23:33	1.00		217.01	216.44	216.52	216.35	22.510	22.510	22.510	22.510	1005.29	46.334	22.510	---	---	22.573	22.644	22.725	22.752	236.216	254.616	145.456	160.236	6.787	7.260	6.022	5.975	
2021-08-08	13:23:34	2.03		216.05	215.54	215.51	215.52	22.583	22.583	22.583	22.583	1005.28	46.169	22.583	---	---	22.602	22.670	22.757	22.774	236.628	254.978	145.208	160.050	6.758	7.248	6.010	6.170	
2021-08-08	13:23:36	3.50		216.11	215.46	215.67	215.69	22.572	22.572	22.572	22.572	1005.28	46.156	22.572	---	---	22.601	22.677	22.752	22.768	236.647	254.998	145.202	160.070	6.671	7.236	6.027	6.167	
2021-08-08	13:23:37	4.50		216.07	215.49	215.72	215.70	22.564	22.564	22.564	22.564	1005.27	46.144	22.564	---	---	22.606	22.678	22.751	22.770	236.642	254.992	145.221	160.072	6.632	7.168	6.022	6.160	
2021-08-08	13:23:38	5.51		216.12	215.60	215.67	215.76	22.557	22.557	22.557	22.557	1005.23	46.131	22.557	---	---	22.605	22.674	22.756	22.769	236.633	255.023	145.204	160.096	6.515	7.123	6.137	6.175	
2021-08-08	13:23:39	6.46		216.19	215.70	215.82	215.74	22.549	22.549	22.549	22.549	1005.18	46.131	22.549	---	---	22.604	22.671	22.751	22.772	236.681	255.032	145.210	160.076	6.576	7.129	6.109	6.195	
2021-08-08	13:23:40	7.42		216.28	215.78	215.86	215.85	22.545	22.545	22.545	22.545	1005.20	46.131	22.545	---	---	22.600	22.668	22.750	22.768	236.709	255.056	145.233	160.085	6.651	7.197	6.190	6.262	
2021-08-08	13:23:41	8.37		216.31	215.65	216.04	215.94	22.542	22.542	22.542	22.542	1005.21	46.131	22.542	---	---	22.599	22.676	22.741	22.764	236.720	255.048	145.243	160.085	6.572	7.114	6.025	6.063	
2021-08-08	13:23:42	9.34		216.17	215.58	215.93	215.97	22.536	22.536	22.536	22.536	1005.24	46.131	22.536	---	---	22.609	22.682	22.749	22.764	236.703	255.060	145.244	160.095	6.578	7.129	6.040	6.056	
2021-08-08	13:23:43	10.29		216.12	215.54	215.88	215.88	22.532	22.532	22.532	22.532	1005.20	46.131	22.532	---	---	22.613	22.685	22.753	22.770	236.700	255.058	145.252	160.093	6.635	7.136	6.029	6.104	
2021-08-08	13:23:44	11.25		216.07	215.61	215.90	215.80	22.528	22.528	22.528	22.528	1005.24	46.131	22.528	---	---	22.617	22.682	22.753	22.776	236.729	255.073	145.264	160.094	6.846	7.271	6.176	6.332	
2021-08-08	13:23:45	12.21		216.18	215.68	215.91	215.79	22.529	22.529	22.529	22.529	1005.24	46.131	22.529	---	---	22.611	22.678	22.752	22.776	236.723	255.083	145.278	160.122	6.691	7.142	6.171	6.346	
2021-08-08	13:23:46	13.17		216.15	215.67	216.01	215.98	22.528	22.528	22.528	22.528	1005.26	46.131	22.528	---	---	22.612	22.679	22.747	22.766	236.744	255.109	145.262	160.131	6.694	7.177	6.203	6.421	
2021-08-08	13:23:47	14.13		216.29	215.65	216.01	215.98	22.525	22.525	22.525	22.525	1005.21	46.121	22.525	---	---	22.606	22.681	22.748	22.767	236.745	255.119	145.255	160.121	6.703	7.111	6.043	6.225	
2021-08-08	13:23:48	15.09		216.21	215.62	216.00	215.86	22.524	22.524	22.524	22.524	1005.21	46.111	22.524	---	---	22.610	22.683	22.748	22.774	236.746	255.128	145.242	160.113	6.869	7.227	6.073	6.216	
2021-08-08	13:23:48	16.05		216.23	215.58	215.81	215.72	22.524	22.524	22.524	22.524	1005.21	46.101	22.524	---	---	22.609	22.685	22.759	22.781	236.752	255.116	145.241	160.117	6.836	7.153	5.964	6.070	
2021-08-08	13:23:49	17.01		216.16	215.61	215.79	215.73	22.523	22.523	22.523	22.523	1005.22	46.101	22.523	---	---	22.613	22.684	22.760	22.781	236.750	255.129	145.256	160.134	6.684	7.132	6.014	6.227	
2021-08-08	13:23:50	18.00		216.22	215.60	215.76	215.88	22.522	22.522	22.522	22.522	1005.18	46.101	22.522	---	---	22.610	22.685	22.762	22.773	236.770	255.141	145.262	160.152	6.698	7.140	6.011	6.217	
2021-08-08	13:23:51	19.00		216.24	215.59	215.80	215.92	22.518	22.518	22.518	22.518	1005.16	46.088	22.518	---	---	22.610	22.687	22.761	22.772	236.742	255.190	145.267	160.154	6.535	7.071	5.982	6.173	
2021-08-08	13:23:52	20.00		216.17	215.56	215.83	215.89	22.520	22.520	22.520	22.520	1005.18	46.075	22.520	---	---	22.614	22.688	22.759	22.773	236.730	255.184	145.260	160.171	6.731	7.169	6.082	6.203	
2021-08-08	13:23:53	21.00		216.09	215.60	215.91	215.75	22.518	22.518	22.518	22.518	1005.26	46.075	22.518	---	---	22.619	22.686	22.755	22.781	236.761	255.188	145.254	160.171	6.764	7.163	6.037	6.269	
2021-08-08	13:23:54	22.00		216.05	215.66	215.90	215.72	22.518	22.518	22.518	22.518	1005.26	46.075	22.518	---	---	22.621	22.683	22.756	22.783	236.803	255.188	145.256	160.176	6.951	7.225	6.152	6.453	
2021-08-08	13:23:55	23.00		216.14	215.63	215.88	215.79	22.517	22.517	22.517	22.517	1005.30	46.075	22.517	---	---	22.616	22.685	22.757	22.780	236.811	255.210	145.267	160.147	6.814	7.226	6.160	6.445	
2021-08-08	13:23:56	24.00		216.28	215.63	215.74	215.82	22.516	22.516	22.516	22.516	1005.29	46.062	22.516	---	---	22.609	22.685	22.765	22.778	236.787	255.212	145.284	160.136	6.798	7.246	6.205	6.398	
2021-08-08	13:23:57	25.00		216.26	215.63	215.69	215.84	22.516	22.516	22.516	22.516	1005.32	46.062	22.516	---	---	22.610	22.685	22.768	22.777	236.767	255.209	145.292	160.142	6.648	7.213	6.094	6.363	
2021-08-08	13:23:58	26.00		216.23	215.69	215.62	215.88	22.517	22.517	22.517	22.517	1005.32	46.062	22.517	---	---	22.611	22.681	22.771	22.775	236.794	255.205	145.298	160.168	6.737	7.202	6.052	6.344	
2021-08-08	13:23:59	27.00		216.11	215.70	215.64	215.92	22.515	22.515	22.515	22.515	1005.31	46.062	22.515	---	---	22.618	22.682	22.771	22.773	236.815	255.236	145.293	160.179	6.713	7.176	6.020	6.371	
2021-08-08	13:24:00	28.00		216.05	215.66	215.77	216.05	22.512	22.512	22.512	22.512	1005.31	46.062	22.512	---	---	22.622	22.685	22.765	22.767	236.831	255.250	145.273	160.167	6.838	7.286	6.101	6.261	
2021-08-08	13:24:01	29.00		216.00	215.61	215.70	216.00	22.510	22.510	22.510	22.510	1005.27	46.062	22.510	---	---	22.626	22.688	22.769	22.771	236.836	255.272	145.261	160.164	6.866	7.309	6.125	6.272	
2021-08-08	13:24:02	30.00		216.02	215.58	215.70	216.01	22.511	22.511	22.511	22.511	1005.24	46.062	22.511	---	---	22.624	22.689	22.769	22.770	236.815	255.283	145.272	160.177	6.852	7.301	6.154	6.252	
