
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.260	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.223	23.775	1004	100.000	20.950	52.533	22.309	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.197	23.133	1005	100.000	20.950	52.883	22.396	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.988	23.467	1004	100.000	20.950	52.933	22.462	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.843	23.908	1003	100.000	20.950	52.867	22.451	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Data	Smoothing:	3	
Date:	2021-08-11	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-08-11	13:48:11	0.00		231.28	231.46	233.09	233.15	18.961	18.961	18.961	18.961	1005.91	49.725	18.961	---	---	23.027	23.063	23.068	23.081	215.122	203.156	141.545	202.144	6.530	7.031	6.103	6.050	
2021-08-11	13:48:12	1.00		224.70	224.17	225.79	226.10	20.544	20.544	20.544	20.544	1005.66	50.149	20.544	---	---	22.862	22.933	22.935	22.935	213.418	202.013	139.912	199.919	6.634	7.013	6.061	6.013	
2021-08-11	13:48:13	2.00		218.09	216.98	218.47	219.19	22.126	22.126	22.126	22.126	1005.39	50.574	22.126	---	---	22.698	22.798	22.804	22.783	211.720	200.849	138.260	197.707	6.494	7.092	6.241	6.206	
2021-08-11	13:48:14	3.00		218.15	217.03	218.51	219.29	22.116	22.116	22.116	22.116	1005.37	50.564	22.116	---	---	22.698	22.799	22.805	22.781	211.718	200.863	138.244	197.727	6.597	7.204	6.198	6.333	 0.000	 0.000	 35.879	 49.556	 0.000	 0.000	 85.849	 85.774	 0.000	 0.000	 608.890	 541.844	 0.000	 0.000	 78.651	 65.232	 0.000	 0.000	 63.289	 63.171	
2021-08-11	13:48:15	4.02		218.18	217.02	218.45	219.18	22.112	22.112	22.112	22.112	1005.39	50.551	22.112	---	---	22.697	22.800	22.809	22.788	211.718	200.834	138.252	197.727	6.451	7.113	6.072	6.234	 57.437	 56.214	 35.929	 49.513	 85.651	 85.853	 85.830	 85.788	 623.901	 598.579	 608.879	 541.831	 118.456	 95.206	 78.667	 65.238	 63.127	 63.231	 63.288	 63.172	
2021-08-11	13:48:16	5.21		218.06	217.14	218.67	219.21	22.107	22.107	22.107	22.107	1005.36	50.539	22.107	---	---	22.705	22.795	22.799	22.788	211.715	200.842	138.248	197.724	6.524	6.992	5.868	6.127	
2021-08-11	13:48:17	6.25		217.99	217.24	218.78	219.12	22.108	22.108	22.108	22.108	1005.37	50.503	22.108	---	---	22.708	22.789	22.793	22.793	211.719	200.814	138.249	197.716	6.495	6.915	5.752	5.975	
2021-08-11	13:48:18	7.20		217.81	217.26	218.75	219.23	22.105	22.105	22.105	22.105	1005.38	50.480	22.105	---	---	22.719	22.789	22.796	22.788	211.737	200.805	138.248	197.716	6.551	7.022	5.882	6.040	
2021-08-11	13:48:19	8.16		217.85	217.09	218.61	219.31	22.108	22.108	22.108	22.108	1005.42	50.457	22.108	---	---	22.715	22.798	22.802	22.783	211.752	200.784	138.246	197.710	6.701	7.175	5.982	6.027	
2021-08-11	13:48:20	9.32		217.87	216.96	218.67	219.40	22.110	22.110	22.110	22.110	1005.43	50.457	22.110	---	---	22.714	22.804	22.799	22.777	211.774	200.825	138.248	197.707	6.869	7.294	6.091	6.166	
2021-08-11	13:48:21	10.41		218.07	216.89	218.62	219.31	22.111	22.111	22.111	22.111	1005.39	50.457	22.111	---	---	22.703	22.808	22.801	22.782	211.748	200.846	138.226	197.720	6.844	7.201	5.991	6.066	
2021-08-11	13:48:22	11.37		218.14	216.90	218.80	219.21	22.107	22.107	22.107	22.107	1005.39	50.447	22.107	---	---	22.701	22.808	22.793	22.788	211.758	200.824	138.244	197.735	6.696	7.109	5.998	6.062	
