
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.260	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.223	23.775	1004	100.000	20.950	52.533	22.309	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.197	23.133	1005	100.000	20.950	52.883	22.396	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.988	23.467	1004	100.000	20.950	52.933	22.462	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.843	23.908	1003	100.000	20.950	52.867	22.451	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Data	Smoothing:	3	
Date:	2021-08-11	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-08-11	15:34:20	0.00		180.31	180.06	181.40	182.03	27.188	27.188	27.188	27.188	1004.12	50.752	27.188	---	---	23.432	23.495	23.496	23.472	212.634	226.740	144.477	197.239	6.634	6.994	5.760	5.799	
2021-08-11	15:34:21	1.00		180.65	180.60	181.85	182.29	27.220	27.220	27.220	27.220	1004.14	50.828	27.220	---	---	23.401	23.451	23.458	23.446	211.080	226.008	145.090	196.688	6.661	7.169	5.855	5.946	
2021-08-11	15:34:22	2.00		180.99	181.14	182.52	182.66	27.248	27.248	27.248	27.248	1004.12	50.894	27.248	---	---	23.372	23.409	23.407	23.414	209.532	225.228	145.722	196.063	6.479	7.125	5.885	5.927	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	
2021-08-11	15:34:23	3.00		181.07	181.08	182.77	182.72	27.240	27.240	27.240	27.240	1004.12	50.871	27.240	---	---	23.369	23.414	23.393	23.413	209.539	225.223	145.766	196.055	6.798	7.278	6.214	5.964	 57.569	 62.629	 37.804	 50.112	 86.305	 86.489	 86.421	 86.392	 623.939	 598.608	 608.844	 541.746	 118.415	 95.069	 78.604	 65.216	 63.123	 63.232	 63.286	 63.170	
2021-08-11	15:34:24	4.23		181.14	181.13	182.74	182.70	27.236	27.236	27.236	27.236	1004.12	50.838	27.236	---	---	23.366	23.413	23.396	23.415	209.575	225.252	145.770	196.082	6.757	7.264	6.241	5.984	
2021-08-11	15:34:25	5.22		181.11	181.09	182.58	182.80	27.230	27.230	27.230	27.230	1004.13	50.816	27.230	---	---	23.369	23.416	23.408	23.410	209.591	225.257	145.754	196.089	6.971	7.337	6.336	6.079	
2021-08-11	15:34:27	6.59		181.07	181.11	182.46	182.73	27.226	27.226	27.226	27.226	1004.12	50.783	27.226	---	---	23.373	23.417	23.417	23.416	209.620	225.266	145.739	196.109	6.822	7.331	6.223	6.257	
2021-08-11	15:34:28	7.81		180.93	181.06	182.49	182.75	27.223	27.223	27.223	27.223	1004.10	50.772	27.223	---	---	23.383	23.420	23.415	23.415	209.635	225.257	145.739	196.114	6.533	7.153	5.998	5.959	
2021-08-11	15:34:30	9.68		180.93	181.02	182.50	182.61	27.229	27.229	27.229	27.229	1004.11	50.749	27.229	---	---	23.381	23.421	23.413	23.423	209.641	225.260	145.751	196.117	6.206	6.978	5.733	5.776	
2021-08-11	15:34:31	10.68		180.93	181.01	182.63	182.66	27.227	27.227	27.227	27.227	1004.11	50.737	27.227	---	---	23.382	23.422	23.406	23.420	209.663	225.278	145.737	196.121	6.255	7.009	5.744	5.847	
2021-08-11	15:34:32	11.75		181.08	180.93	182.52	182.65	27.225	27.225	27.225	27.225	1004.12	50.724	27.225	---	---	23.372	23.428	23.413	23.422	209.668	225.293	145.749	196.122	6.531	7.222	5.937	6.153	
2021-08-11	15:34:33	12.83		181.11	180.95	182.47	182.66	27.219	27.219	27.219	27.219	1004.12	50.724	27.219	---	---	23.372	23.429	23.418	23.422	209.695	225.321	145.755	196.131	6.858	7.418	6.202	6.477	
2021-08-11	15:34:34	13.90		180.92	180.94	182.27	182.68	27.221	27.221	27.221	27.221	1004.12	50.724	27.221	---	---	23.384	23.429	23.430	23.421	209.707	225.328	145.775	196.148	6.696	7.340	6.088	6.150	
2021-08-11	15:34:35	15.10		180.82	180.92	182.44	182.65	27.224	27.224	27.224	27.224	1004.07	50.724	27.224	---	---	23.389	23.429	23.419	23.422	209.726	225.349	145.776	196.187	6.605	7.305	6.078	6.116	
2021-08-11	15:34:36	16.05		180.71	180.87	182.47	182.64	27.225	27.225	27.225	27.225	1004.07	50.724	27.225	---	---	23.396	23.432	23.416	23.422	209.715	225.343	145.781	196.188	6.382	7.272	6.128	6.050	
2021-08-11	15:34:37	17.06		180.79	180.83	182.52	182.68	27.223	27.223	27.223	27.223	1004.07	50.724	27.223	---	---	23.391	23.435	23.414	23.420	209.718	225.355	145.820	196.201	6.433	7.199	6.177	6.237	
