
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.260	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.223	23.775	1004	100.000	20.950	52.533	22.309	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.197	23.133	1005	100.000	20.950	52.883	22.396	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.988	23.467	1004	100.000	20.950	52.933	22.462	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.843	23.908	1003	100.000	20.950	52.867	22.451	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Data	Smoothing:	3	
Date:	2021-08-05	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-08-05	18:08:35	0.00		164.02	162.96	164.40	163.61	32.686	32.686	32.686	32.686	1000.01	46.398	32.686	---	---	23.145	23.265	23.248	23.320	94.233	168.728	119.466	139.272	6.586	7.065	5.640	6.072	
2021-08-05	18:08:36	1.00		165.69	161.14	163.42	162.60	33.143	33.143	33.143	33.143	999.96	45.271	33.143	---	---	22.914	23.280	23.202	23.277	49.927	169.236	118.429	139.572	6.471	7.254	5.768	6.056	
2021-08-05	18:08:37	2.00		166.12	159.48	162.24	161.86	33.592	33.592	33.592	33.592	999.92	44.145	33.592	---	---	22.772	23.286	23.173	23.217	5.581	169.764	117.388	139.916	6.036	7.112	5.996	6.738	
2021-08-05	18:08:38	3.00		164.60	159.62	162.44	161.88	33.570	33.570	33.570	33.570	999.88	44.122	33.570	---	---	22.882	23.282	23.165	23.221	5.588	169.801	117.413	139.950	6.124	7.135	6.625	7.100	
2021-08-05	18:08:39	4.00		161.67	159.63	162.26	161.90	33.557	33.557	33.557	33.557	999.91	44.122	33.557	---	---	23.093	23.284	23.181	23.223	5.578	169.820	117.412	139.971	5.859	6.669	6.023	6.557	
2021-08-05	18:08:40	5.00		162.08	159.57	162.29	161.78	33.544	33.544	33.544	33.544	999.92	44.122	33.544	---	---	23.068	23.292	23.182	23.235	5.578	169.831	117.422	139.978	6.419	6.862	5.973	5.981	
2021-08-05	18:08:41	6.00		162.82	159.53	162.09	161.90	33.533	33.533	33.533	33.533	999.94	44.132	33.533	---	---	23.018	23.298	23.199	23.229	5.532	169.829	117.393	139.990	6.760	6.870	5.446	5.238	
2021-08-05	18:08:42	7.00		165.95	159.52	162.15	162.09	33.527	33.527	33.527	33.527	999.93	44.145	33.527	---	---	22.798	23.300	23.196	23.217	5.489	169.839	117.427	140.001	6.762	6.770	5.401	5.191	
2021-08-05	18:08:43	8.00		168.68	159.50	162.21	162.21	33.525	33.525	33.525	33.525	999.90	44.157	33.525	---	---	22.614	23.302	23.192	23.209	5.522	169.854	117.426	140.014	6.235	6.584	5.491	5.307	
2021-08-05	18:08:44	9.00		169.88	159.47	162.22	162.14	33.525	33.525	33.525	33.525	999.92	44.180	33.525	---	---	22.531	23.304	23.192	23.214	5.541	169.885	117.427	140.002	6.221	6.451	5.413	5.177	
2021-08-05	18:08:45	10.00		167.70	159.45	162.35	162.05	33.521	33.521	33.521	33.521	999.92	44.191	33.521	---	---	22.685	23.306	23.184	23.221	5.561	169.912	117.385	140.025	6.283	6.430	5.405	5.269	
2021-08-05	18:08:46	11.00		166.64	159.50	162.30	161.96	33.519	33.519	33.519	33.519	999.93	44.201	33.519	---	---	22.756	23.303	23.187	23.229	5.553	169.912	117.388	140.034	6.540	6.468	5.169	5.029	
2021-08-05	18:08:47	12.00		163.70	159.39	162.29	161.92	33.515	33.515	33.515	33.515	999.94	44.201	33.515	---	---	22.963	23.312	23.189	23.232	5.577	169.913	117.422	140.064	6.174	6.420	5.210	5.011	
2021-08-05	18:08:48	13.00		163.30	159.40	162.31	161.88	33.511	33.511	33.511	33.511	999.92	44.211	33.511	---	---	22.992	23.312	23.188	23.236	5.567	169.904	117.457	140.092	6.216	6.479	5.350	4.901	
2021-08-05	18:08:49	14.00		163.36	159.36	162.19	162.00	33.509	33.509	33.509	33.509	999.97	44.221	33.509	---	---	22.989	23.316	23.197	23.228	5.572	169.949	117.446	140.112	5.957	6.587	5.348	5.039	
2021-08-05	18:08:50	15.00		162.20	159.39	162.30	162.15	33.508	33.508	33.508	33.508	999.93	44.231	33.508	---	---	23.074	23.314	23.190	23.218	5.561	169.971	117.454	140.101	6.438	6.827	5.464	5.080	
2021-08-05	18:08:51	16.00		164.86	159.44	162.12	162.14	33.508	33.508	33.508	33.508	999.94	44.231	33.508	---	---	22.887	23.311	23.203	23.218	5.599	170.011	117.471	140.094	6.419	7.338	6.007	5.971	
2021-08-05	18:08:52	17.00		163.61	159.31	162.12	162.15	33.507	33.507	33.507	33.507	999.90	44.231	33.507	---	---	22.973	23.320	23.203	23.217	5.571	170.022	117.472	140.094	6.875	7.341	6.041	5.788	
2021-08-05	18:08:53	18.00		163.44	159.38	161.94	161.81	33.511	33.511	33.511	33.511	999.95	44.231	33.511	---	---	22.984	23.314	23.215	23.241	5.572	170.040	117.478	140.113	7.179	7.492	6.278	6.418	
2021-08-05	18:08:54	19.00		160.85	159.36	161.97	161.83	33.512	33.512	33.512	33.512	999.95	44.221	33.512	---	---	23.165	23.315	23.212	23.240	5.573	170.050	117.460	140.103	7.704	7.366	5.974	5.897	
2021-08-05	18:08:55	20.00		163.77	159.46	161.99	161.76	33.511	33.511	33.511	33.511	999.97	44.211	33.511	---	---	22.969	23.308	23.211	23.244	5.577	170.072	117.476	140.122	7.279	7.246	5.972	5.897	
2021-08-05	18:08:56	21.00		168.63	159.43	162.13	161.94	33.505	33.505	33.505	33.505	999.92	44.201	33.505	---	---	22.629	23.312	23.203	23.233	5.571	170.083	117.458	140.105	7.377	7.291	5.950	5.712	
2021-08-05	18:08:57	22.00		169.77	159.39	162.05	161.90	33.503	33.503	33.503	33.503	999.93	44.201	33.503	---	---	22.549	23.315	23.209	23.236	5.576	170.116	117.498	140.144	6.503	6.923	5.914	5.866	
2021-08-05	18:08:58	23.00		164.10	159.29	161.98	161.85	33.501	33.501	33.501	33.501	999.93	44.201	33.501	---	---	22.941	23.323	23.214	23.241	5.566	170.128	117.509	140.168	7.145	7.450	6.268	6.236	
2021-08-05	18:08:59	24.00		165.49	159.21	161.90	161.78	33.502	33.502	33.502	33.502	999.93	44.191	33.502	---	---	22.850	23.329	23.220	23.245	5.571	170.151	117.527	140.191	6.502	7.176	6.186	6.209	
2021-08-05	18:09:00	25.00		164.81	159.15	162.08	161.90	33.501	33.501	33.501	33.501	999.95	44.180	33.501	---	---	22.898	23.333	23.208	23.237	5.547	170.162	117.512	140.200	7.199	7.303	5.994	5.695	
2021-08-05	18:09:01	26.00		163.83	159.13	162.11	161.90	33.504	33.504	33.504	33.504	999.97	44.157	33.504	---	---	22.970	23.334	23.205	23.236	5.588	170.182	117.523	140.179	6.689	6.760	5.652	5.432	
2021-08-05	18:09:02	27.00		162.36	159.14	162.13	161.82	33.502	33.502	33.502	33.502	999.99	44.145	33.502	---	---	23.067	23.334	23.204	23.242	5.587	170.186	117.536	140.223	6.671	6.633	5.361	5.055	
2021-08-05	18:09:03	28.00		165.28	159.04	161.95	161.61	33.499	33.499	33.499	33.499	999.96	44.122	33.499	---	---	22.865	23.342	23.217	23.258	5.590	170.206	117.531	140.248	6.253	6.391	5.397	5.946	
2021-08-05	18:09:04	29.00		171.09	158.95	161.88	161.53	33.498	33.498	33.498	33.498	999.90	44.089	33.498	---	---	22.457	23.349	23.223	23.264	5.557	170.186	117.551	140.290	6.396	6.504	5.275	6.393	
2021-08-05	18:09:05	30.00		168.37	158.91	161.86	161.58	33.499	33.499	33.499	33.499	999.90	44.056	33.499	---	---	22.643	23.351	23.224	23.260	5.589	170.228	117.560	140.286	6.345	6.901	5.943	7.177	
2021-08-05	18:09:06	31.00		165.16	158.98	161.95	161.63	33.501	33.501	33.501	33.501	999.93	44.033	33.501	---	---	22.865	23.345	23.217	23.256	5.568	170.213	117.574	140.258	6.664	7.202	5.963	6.607	
2021-08-05	18:09:07	32.00		159.32	159.00	161.83	161.73	33.501	33.501	33.501	33.501	999.98	44.033	33.501	---	---	23.278	23.344	23.226	23.249	5.580	170.273	117.597	140.256	6.537	7.166	6.033	6.075	
2021-08-05	18:09:08	33.01		162.65	158.88	161.82	161.71	33.499	33.499	33.499	33.499	999.97	44.033	33.499	---	---	23.050	23.353	23.227	23.251	5.571	170.305	117.604	140.278	6.325	7.152	5.944	5.974	
2021-08-05	18:09:09	34.00		160.36	158.68	161.77	161.74	33.497	33.497	33.497	33.497	999.97	44.033	33.497	---	---	23.219	23.369	23.230	23.249	5.575	170.348	117.601	140.296	6.565	7.174	5.937	5.725	
2021-08-05	18:09:10	35.00		163.72	158.71	161.95	161.62	33.498	33.498	33.498	33.498	999.96	44.033	33.498	---	---	22.976	23.366	23.217	23.258	5.555	170.343	117.589	140.307	7.127	7.402	6.163	5.737	
2021-08-05	18:09:11	36.00		158.08	158.76	161.98	161.49	33.500	33.500	33.500	33.500	999.95	44.033	33.500	---	---	23.371	23.362	23.215	23.267	5.528	170.327	117.581	140.300	7.818	7.329	5.750	4.991	
2021-08-05	18:09:12	37.00		159.83	158.90	161.97	161.40	33.502	33.502	33.502	33.502	999.91	44.033	33.502	---	---	23.240	23.352	23.215	23.273	5.555	170.318	117.611	140.333	7.725	7.293	5.835	5.407	
2021-08-05	18:09:13	38.00		158.61	158.92	161.92	161.49	33.500	33.500	33.500	33.500	999.89	44.033	33.500	---	---	23.327	23.350	23.219	23.267	5.543	170.340	117.600	140.348	7.563	7.134	5.669	5.441	
