
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.120	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.459	22.577	1004	100.000	20.950	52.518	22.394	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.409	22.445	1004	100.000	20.950	52.778	22.511	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	21.712	22.523	1004	100.000	20.950	52.699	22.518	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Data	Smoothing:	3	
Date:	2021-08-25	
			 	Oxygen		Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-08-25	16:01:12	0.00		170.18	---	171.60	171.17	32.126	---	32.126	32.126	1002.68	45.607	32.126	---	---	22.767	---	22.779	22.821	124.713	---	140.918	174.327	6.591	---	5.949	6.320	
2021-08-25	16:01:13	1.00		169.91	---	171.42	171.23	32.108	---	32.108	32.108	1002.70	45.694	32.108	---	---	22.791	---	22.795	22.821	125.188	---	140.747	174.039	6.376	---	5.920	6.400	
2021-08-25	16:01:14	2.13		169.61	---	171.30	171.29	32.087	---	32.087	32.087	1002.71	45.760	32.087	---	---	22.816	---	22.809	22.823	125.697	---	140.600	173.762	6.397	---	5.895	6.361	
2021-08-25	16:01:16	3.69		169.56	---	171.32	171.28	32.083	---	32.083	32.083	1002.68	45.770	32.083	---	---	22.820	---	22.808	22.824	125.683	---	140.627	173.779	6.387	---	5.838	6.010	
2021-08-25	16:01:16	4.55		169.58	---	171.22	171.33	32.078	---	32.078	32.078	1002.68	45.760	32.078	---	---	22.820	---	22.816	22.822	125.750	---	140.652	173.781	6.389	---	5.994	5.993	
2021-08-25	16:01:17	5.37		169.47	---	171.22	171.24	32.077	---	32.077	32.077	1002.72	45.770	32.077	---	---	22.828	---	22.816	22.829	125.756	---	140.649	173.796	6.422	---	5.983	5.952	
2021-08-25	16:01:18	6.24		169.55	---	171.25	171.35	32.072	---	32.072	32.072	1002.73	45.770	32.072	---	---	22.824	---	22.815	22.823	125.779	---	140.627	173.803	6.444	---	5.991	6.018	
2021-08-25	16:01:19	7.08		169.45	---	171.36	171.31	32.071	---	32.071	32.071	1002.70	45.780	32.071	---	---	22.831	---	22.808	22.825	125.731	---	140.591	173.800	6.628	---	5.844	6.128	
2021-08-25	16:01:20	8.00		169.53	---	171.30	171.43	32.071	---	32.071	32.071	1002.67	45.767	32.071	---	---	22.826	---	22.812	22.817	125.734	---	140.578	173.788	6.692	---	5.925	6.041	
2021-08-25	16:01:21	9.00		169.53	---	171.26	171.36	32.070	---	32.070	32.070	1002.70	45.755	32.070	---	---	22.826	---	22.815	22.822	125.742	---	140.585	173.784	6.989	---	6.120	6.164	
2021-08-25	16:01:22	10.00		169.45	---	171.26	171.25	32.070	---	32.070	32.070	1002.73	45.742	32.070	---	---	22.831	---	22.815	22.830	125.786	---	140.597	173.815	7.079	---	6.268	6.076	
2021-08-25	16:01:23	11.00		169.38	---	171.31	171.19	32.071	---	32.071	32.071	1002.72	45.742	32.071	---	---	22.836	---	22.812	22.833	125.791	---	140.619	173.808	6.808	---	6.166	6.171	
2021-08-25	16:01:24	12.00		169.29	---	171.29	171.13	32.073	---	32.073	32.073	1002.69	45.742	32.073	---	---	22.841	---	22.813	22.837	125.802	---	140.602	173.800	6.456	---	5.986	5.986	
2021-08-25	16:01:25	13.00		169.34	---	171.24	171.27	32.075	---	32.075	32.075	1002.66	45.742	32.075	---	---	22.838	---	22.816	22.827	125.809	---	140.609	173.815	6.403	---	5.960	6.040	
2021-08-25	16:01:26	14.00		169.27	---	171.23	171.33	32.073	---	32.073	32.073	1002.69	45.734	32.073	---	---	22.843	---	22.817	22.824	125.806	---	140.600	173.848	6.208	---	5.705	5.725	
2021-08-25	16:01:27	15.00		169.21	---	171.30	171.26	32.075	---	32.075	32.075	1002.67	45.734	32.075	---	---	22.846	---	22.812	22.828	125.798	---	140.615	173.871	6.258	---	5.686	5.775	
2021-08-25	16:01:28	16.00		169.32	---	171.29	171.19	32.072	---	32.072	32.072	1002.70	45.717	32.072	---	---	22.839	---	22.813	22.833	125.800	---	140.620	173.864	6.008	---	5.500	5.661	
2021-08-25	16:01:29	17.00		169.42	---	171.23	171.06	32.071	---	32.071	32.071	1002.66	45.707	32.071	---	---	22.832	---	22.817	22.842	125.831	---	140.630	173.855	6.432	---	5.755	5.890	
2021-08-25	16:01:30	18.00		169.54	---	171.21	171.11	32.068	---	32.068	32.068	1002.69	45.689	32.068	---	---	22.825	---	22.819	22.839	125.850	---	140.639	173.859	6.814	---	6.063	6.272	
2021-08-25	16:01:31	19.00		169.52	---	171.31	171.11	32.070	---	32.070	32.070	1002.66	45.689	32.070	---	---	22.826	---	22.812	22.839	125.849	---	140.635	173.880	6.744	---	6.037	6.022	
2021-08-25	16:01:32	20.00		169.54	---	171.31	171.07	32.071	---	32.071	32.071	1002.70	45.674	32.071	---	---	22.825	---	22.812	22.841	125.847	---	140.651	173.903	6.746	---	6.038	6.218	
2021-08-25	16:01:33	21.00		169.44	---	171.23	171.07	32.074	---	32.074	32.074	1002.72	45.658	32.074	---	---	22.831	---	22.816	22.841	125.857	---	140.654	173.901	6.761	---	5.790	5.808	
2021-08-25	16:01:34	22.00		169.27	---	171.15	171.06	32.071	---	32.071	32.071	1002.75	45.643	32.071	---	---	22.843	---	22.823	22.842	125.877	---	140.676	173.907	7.195	---	6.097	6.153	
2021-08-25	16:01:35	23.00		169.17	---	171.07	171.05	32.072	---	32.072	32.072	1002.71	45.643	32.072	---	---	22.850	---	22.828	22.842	125.887	---	140.673	173.925	7.203	---	6.156	6.158	
2021-08-25	16:01:36	24.00		169.20	---	171.06	170.99	32.069	---	32.069	32.069	1002.68	45.633	32.069	---	---	22.849	---	22.829	22.848	125.897	---	140.671	173.957	7.212	---	6.385	6.606	
2021-08-25	16:01:37	25.04		169.18	---	171.05	170.99	32.071	---	32.071	32.071	1002.69	45.622	32.071	---	---	22.849	---	22.829	22.847	125.911	---	140.664	173.960	7.112	---	6.083	6.360	
2021-08-25	16:01:38	26.00		169.21	---	171.08	171.01	32.070	---	32.070	32.070	1002.71	45.612	32.070	---	---	22.848	---	22.828	22.846	125.926	---	140.665	173.959	7.006	---	5.968	5.938	
2021-08-25	16:01:39	27.00		169.10	---	171.08	170.94	32.074	---	32.074	32.074	1002.71	45.599	32.074	---	---	22.854	---	22.827	22.850	125.952	---	140.685	173.958	7.026	---	6.032	5.903	
2021-08-25	16:01:40	28.00		169.03	---	171.04	170.86	32.076	---	32.076	32.076	1002.68	45.587	32.076	---	---	22.858	---	22.829	22.855	125.982	---	140.712	173.976	7.083	---	6.300	6.146	
2021-08-25	16:01:41	29.00		168.88	---	171.08	170.87	32.076	---	32.076	32.076	1002.67	45.574	32.076	---	---	22.869	---	22.826	22.854	126.017	---	140.726	174.006	6.809	---	6.242	6.357	
2021-08-25	16:01:42	30.00		168.95	---	171.11	170.98	32.077	---	32.077	32.077	1002.65	45.574	32.077	---	---	22.864	---	22.824	22.846	126.020	---	140.726	174.020	6.813	---	6.172	6.324	
2021-08-25	16:01:43	31.00		169.02	---	171.03	171.00	32.075	---	32.075	32.075	1002.66	45.574	32.075	---	---	22.860	---	22.830	22.845	126.020	---	140.719	174.012	6.832	---	6.189	6.349	
2021-08-25	16:01:44	32.00		169.16	---	171.06	170.95	32.076	---	32.076	32.076	1002.68	45.566	32.076	---	---	22.849	---	22.827	22.848	125.994	---	140.741	174.018	6.738	---	6.076	6.497	
2021-08-25	16:01:45	33.00		169.20	---	170.90	170.90	32.077	---	32.077	32.077	1002.72	45.559	32.077	---	---	22.846	---	22.838	22.851	125.987	---	140.734	174.041	6.713	---	6.148	6.523	
2021-08-25	16:01:46	34.00		169.11	---	170.82	170.82	32.079	---	32.079	32.079	1002.73	45.571	32.079	---	---	22.852	---	22.843	22.856	125.983	---	140.740	174.071	6.740	---	6.156	6.597	
2021-08-25	16:01:47	35.00		169.00	---	170.74	170.77	32.079	---	32.079	32.079	1002.72	45.592	32.079	---	---	22.859	---	22.848	22.860	126.003	---	140.719	174.057	6.808	---	6.090	6.315	
2021-08-25	16:01:48	36.00		168.89	---	170.85	170.71	32.076	---	32.076	32.076	1002.68	45.612	32.076	---	---	22.868	---	22.841	22.864	126.019	---	140.746	174.066	6.772	---	6.009	6.279	
2021-08-25	16:01:49	37.00		168.96	---	170.94	170.84	32.076	---	32.076	32.076	1002.66	45.615	32.076	---	---	22.863	---	22.835	22.856	126.031	---	140.750	174.077	6.737	---	5.777	6.073	
2021-08-25	16:01:50	38.00		168.97	---	170.93	170.85	32.077	---	32.077	32.077	1002.67	45.625	32.077	---	---	22.862	---	22.836	22.855	126.046	---	140.763	174.100	7.054	---	6.087	6.391	
2021-08-25	16:01:51	39.00		169.03	---	170.99	170.82	32.076	---	32.076	32.076	1002.71	45.635	32.076	---	---	22.858	---	22.832	22.857	126.060	---	140.752	174.093	7.035	---	6.058	6.361	
2021-08-25	16:01:52	40.00		169.00	---	171.12	170.73	32.074	---	32.074	32.074	1002.71	45.635	32.074	---	---	22.860	---	22.824	22.864	126.068	---	140.738	174.097	7.104	---	6.334	6.466	
2021-08-25	16:01:53	41.00		168.91	---	171.20	170.73	32.074	---	32.074	32.074	1002.68	45.628	32.074	---	---	22.867	---	22.819	22.864	126.078	---	140.740	174.088	6.744	---	6.011	6.183	
2021-08-25	16:01:54	42.00		169.00	---	171.00	170.68	32.073	---	32.073	32.073	1002.67	45.620	32.073	---	---	22.861	---	22.832	22.867	126.067	---	140.754	174.096	6.416	---	5.773	5.860	
2021-08-25	16:01:55	43.00		169.00	---	170.89	170.65	32.075	---	32.075	32.075	1002.69	45.643	32.075	---	---	22.860	---	22.839	22.869	126.103	---	140.786	174.104	6.109	---	5.513	5.553	
2021-08-25	16:01:56	44.00		168.98	---	170.83	170.68	32.075	---	32.075	32.075	1002.70	45.666	32.075	---	---	22.862	---	22.844	22.867	126.107	---	140.809	174.143	6.350	---	5.835	5.802	
2021-08-25	16:01:57	45.00		168.71	---	170.82	170.70	32.076	---	32.076	32.076	1002.71	45.689	32.076	---	---	22.880	---	22.844	22.866	126.128	---	140.831	174.149	6.409	---	5.802	5.746	
2021-08-25	16:01:58	46.00		168.64	---	170.76	170.72	32.077	---	32.077	32.077	1002.68	45.689	32.077	---	---	22.885	---	22.848	22.864	126.090	---	140.833	174.131	6.261	---	5.710	5.752	
2021-08-25	16:01:59	47.00		168.71	---	170.67	170.68	32.077	---	32.077	32.077	1002.70	45.689	32.077	---	---	22.880	---	22.854	22.866	126.088	---	140.819	174.106	5.993	---	5.535	5.424	
2021-08-25	16:02:00	48.00		168.77	---	170.74	170.65	32.077	---	32.077	32.077	1002.69	45.689	32.077	---	---	22.876	---	22.849	22.868	126.102	---	140.809	174.133	6.306	---	5.907	5.896	
2021-08-25	16:02:01	49.00		168.76	---	170.71	170.59	32.075	---	32.075	32.075	1002.72	45.689	32.075	---	---	22.877	---	22.851	22.873	126.142	---	140.808	174.168	6.535	---	6.237	6.237	
2021-08-25	16:02:02	50.00		168.75	---	170.83	170.66	32.074	---	32.074	32.074	1002.73	45.697	32.074	---	---	22.878	---	22.844	22.868	126.174	---	140.809	174.198	6.944	---	6.415	6.603	
2021-08-25	16:02:03	51.00		168.86	---	170.73	170.75	32.076	---	32.076	32.076	1002.73	45.704	32.076	---	---	22.869	---	22.850	22.862	126.205	---	140.819	174.199	6.978	---	6.386	6.501	
2021-08-25	16:02:04	52.00		168.82	---	170.84	170.72	32.077	---	32.077	32.077	1002.72	45.704	32.077	---	---	22.872	---	22.842	22.863	126.194	---	140.829	174.175	7.156	---	6.372	6.502	
2021-08-25	16:02:05	53.00		168.84	---	170.69	170.59	32.076	---	32.076	32.076	1002.70	45.697	32.076	---	---	22.871	---	22.853	22.872	126.185	---	140.847	174.200	7.143	---	6.347	6.474	
2021-08-25	16:02:06	54.00		168.78	---	170.73	170.54	32.075	---	32.075	32.075	1002.71	45.697	32.075	---	---	22.875	---	22.850	22.876	126.186	---	140.861	174.216	7.057	---	6.290	6.483	
2021-08-25	16:02:07	55.00		168.69	---	170.60	170.55	32.075	---	32.075	32.075	1002.73	45.697	32.075	---	---	22.881	---	22.859	22.876	126.203	---	140.864	174.281	6.769	---	6.190	6.347	
2021-08-25	16:02:08	56.00		168.56	---	170.74	170.57	32.076	---	32.076	32.076	1002.76	45.697	32.076	---	---	22.890	---	22.849	22.874	126.190	---	140.845	174.271	6.613	---	6.206	5.972	
2021-08-25	16:02:09	57.00		168.38	---	170.73	170.42	32.073	---	32.073	32.073	1002.76	45.689	32.073	---	---	22.903	---	22.850	22.885	126.182	---	140.830	174.274	6.600	---	6.214	6.007	
2021-08-25	16:02:10	58.00		168.54	---	170.76	170.39	32.072	---	32.072	32.072	1002.74	45.697	32.072	---	---	22.892	---	22.849	22.887	126.173	---	140.833	174.246	6.701	---	6.089	5.822	
2021-08-25	16:02:11	59.00		168.53	---	170.71	170.33	32.073	---	32.073	32.073	1002.72	45.697	32.073	---	---	22.893	---	22.852	22.891	126.211	---	140.846	174.254	6.853	---	6.141	6.304	
2021-08-25	16:02:12	60.00		168.55	---	170.73	170.42	32.075	---	32.075	32.075	1002.72	45.697	32.075	---	---	22.891	---	22.850	22.884	126.240	---	140.879	174.264	6.625	---	6.097	6.248	
2021-08-25	16:02:13	61.00		168.33	---	170.78	170.42	32.077	---	32.077	32.077	1002.75	45.689	32.077	---	---	22.906	---	22.846	22.884	126.275	---	140.886	174.266	6.424	---	6.052	6.305	
2021-08-25	16:02:14	62.00		168.32	---	170.75	170.50	32.078	---	32.078	32.078	1002.74	45.689	32.078	---	---	22.906	---	22.848	22.878	126.259	---	140.891	174.272	6.321	---	5.749	5.817	
2021-08-25	16:02:15	63.00		168.40	---	170.67	170.55	32.080	---	32.080	32.080	1002.74	45.689	32.080	---	---	22.900	---	22.853	22.875	126.256	---	140.884	174.277	6.229	---	5.501	5.503	
2021-08-25	16:02:16	64.00		168.39	---	170.52	170.52	32.083	---	32.083	32.083	1002.71	45.689	32.083	---	---	22.900	---	22.862	22.876	126.253	---	140.884	174.309	6.667	---	5.806	5.856	
2021-08-25	16:02:17	65.00		168.39	---	170.39	170.38	32.083	---	32.083	32.083	1002.70	45.699	32.083	---	---	22.900	---	22.871	22.885	126.279	---	140.915	174.325	6.500	---	5.816	5.898	
2021-08-25	16:02:18	66.00		168.40	---	170.42	170.36	32.081	---	32.081	32.081	1002.68	45.709	32.081	---	---	22.900	---	22.870	22.887	126.274	---	140.908	174.345	6.729	---	5.889	5.860	
2021-08-25	16:02:19	67.00		168.43	---	170.43	170.46	32.078	---	32.078	32.078	1002.69	45.719	32.078	---	---	22.899	---	22.869	22.881	126.279	---	140.924	174.356	6.248	---	5.593	5.389	
2021-08-25	16:02:20	68.00		168.31	---	170.47	170.41	32.077	---	32.077	32.077	1002.71	45.719	32.077	---	---	22.907	---	22.867	22.884	126.265	---	140.912	174.353	6.489	---	5.721	5.446	
2021-08-25	16:02:21	69.00		168.16	---	170.43	170.37	32.076	---	32.076	32.076	1002.70	45.719	32.076	---	---	22.918	---	22.870	22.888	126.298	---	140.926	174.359	6.673	---	5.890	5.751	
2021-08-25	16:02:22	70.00		168.12	---	170.48	170.24	32.076	---	32.076	32.076	1002.70	45.719	32.076	---	---	22.920	---	22.866	22.896	126.278	---	140.922	174.362	6.931	---	5.853	5.851	
2021-08-25	16:02:23	71.00		168.15	---	170.49	170.34	32.078	---	32.078	32.078	1002.69	45.729	32.078	---	---	22.918	---	22.865	22.889	126.306	---	140.929	174.394	7.030	---	6.037	6.150	
2021-08-25	16:02:24	72.00		168.12	---	170.56	170.28	32.079	---	32.079	32.079	1002.71	45.740	32.079	---	---	22.920	---	22.861	22.893	126.305	---	140.941	174.398	7.041	---	6.003	5.886	
2021-08-25	16:02:25	73.00		168.10	---	170.52	170.23	32.079	---	32.079	32.079	1002.70	45.750	32.079	---	---	22.921	---	22.863	22.896	126.342	---	140.947	174.412	7.254	---	6.339	6.200	
2021-08-25	16:02:26	74.00		168.04	---	170.45	170.13	32.078	---	32.078	32.078	1002.74	45.750	32.078	---	---	22.925	---	22.868	22.903	126.337	---	140.946	174.405	7.195	---	6.257	6.241	
