prev.rhizo,prev.lirio,n.host,n.rhizo.total,n.rhizo.double,n.pelto.lirio,no.uninfected,rhizo.family,rhizo.genus,rhizo.sp,host.infraorder,host.superfamily,host.family,host.gen,host.sp,site.name,month,year,year.range,lat,long,state/province,country,continent,env.var1,env.var2,ref.type,notes,reference
12.6,27,87,11,NA,3,76,Peltogastridae,Peltogaster,paguri,Anomura,Paguroidea,Paguridae,Pagurus,hirsutiusculus,Auke Bay,10,1996,NA,58.36667,-134.6667,Alaska,USA,North_America,sheltered cove,,ecology,,"Warrenchuk, J. J., T. S. Crustaceana. 2000. PARASITISM BY THE RHIZOCEPHALAN PELTOGASTER PAGURI RATHKE, 1842 AND HYPERPARASITISM BY THE BOPYRID ISOPOD LIRIOPSIS PYGMAEA (RATHKE). 73:971–977."
13.4,45,82,11,NA,5,71,Peltogastridae,Peltogaster,paguri,Anomura,Paguroidea,Paguridae,Pagurus,hirsutiusculus,Auke Bay,11,1996,NA,58.36667,-134.6667,Alaska,USA,North_America,exposed,,ecology,,"Warrenchuk, J. J., T. S. Crustaceana. 2000. PARASITISM BY THE RHIZOCEPHALAN PELTOGASTER PAGURI RATHKE, 1842 AND HYPERPARASITISM BY THE BOPYRID ISOPOD LIRIOPSIS PYGMAEA (RATHKE). 73:971–977."
NA,NA,NA,NA,2,2,NA,Peltogastridae,Peltogaster,paguri,Anomura,Paguroidea,Paguridae,Pagurus,hirsutiusculus,Auke Bay,"10,11",1996,NA,58.36667,-134.6667,Alaska,USA,North_America,NA,,ecology,"did not report what group double infections were in, just that two were found in this study and both had liriopsis","Warrenchuk, J. J., T. S. Crustaceana. 2000. PARASITISM BY THE RHIZOCEPHALAN PELTOGASTER PAGURI RATHKE, 1842 AND HYPERPARASITISM BY THE BOPYRID ISOPOD LIRIOPSIS PYGMAEA (RATHKE). 73:971–977."
0,NA,72,0,NA,0,0,Peltogastridae,Peltogaster,paguri,Anomura,Paguroidea,Paguridae,Pagarus,acadianus,Frenchman Bay,na,1939,NA,44.432688,-68.290556,Maine,USA,North_America,inner bay,hard bottom,ecology,,"Reinhard, E. G. 1939. Rediscovery of the Rhizocephalan Peltogaster paguri on the north american coast. Science 89:80–81."
NA,NA,NA,24,NA,NA,NA,Peltogastridae,Peltogaster,paguri,Anomura,Paguroidea,Paguridae,Pagurus,bernhardus,Starcross,na,1884,NA,50.627306,-3.447022,Devon,UK,Europe,NA,NA,taxonomy,,"London, H. B. J. O. T. L. S. O., 1933. (n.d.). The Rhizocephala in the collection of the British Museum. Limnology and Oceanography."
NA,NA,NA,2,NA,NA,NA,Peltogastridae,Peltogaster,paguri,Anomura,Paguroidea,Paguridae,Pagurus,bernhardus,Off Sunderland,na,1863,NA,54.908841,-1.351054,Sunderland,UK,Europe,NA,NA,taxonomy,,"London, H. B. J. O. T. L. S. O., 1933. (n.d.). The Rhizocephala in the collection of the British Museum. Limnology and Oceanography."
NA,NA,NA,1,NA,NA,NA,Peltogastridae,Peltogaster,paguri,Anomura,Paguroidea,Paguridae,Pagurus,bernhardus,Firth of Forth,na,1861,NA,56.01569,-3.357225,Firth of Forth,UK,Europe,NA,NA,taxonomy,,"London, H. B. J. O. T. L. S. O., 1933. (n.d.). The Rhizocephala in the collection of the British Museum. Limnology and Oceanography."
NA,NA,NA,1,NA,1,NA,Peltogastridae,Peltogaster,paguri,Anomura,Paguroidea,Paguridae,Pagurus,pubescens,Molde,na,1858,NA,62.736188,7.161378,Molde,Norway,Europe,NA,NA,taxonomy,,"Lilljeborg, W. 1858. XXXIV. On the Genera Peltogaster and Liriope of Rathke. Page 173 in The Annals and magazine of natural history; zoology, botany and geology."
NA,NA,NA,1,,,NA,Peltogastridae,Peltogaster,paguri,Anomura,Paguroidea,Paguridae,Pagurus,pubescens,Eastport,na,1866,NA,44.905151,-66.983898,Maine,USA,North_America,NA,NA,ecology,,"Reinhard, E. G. 1942. Studies on the Life History and Host-Parasite Relationship of Peltogaster Paguri. Biological Bulletin 83:401–415."
25.2,NA,341,86,NA,NA,255,Peltogastridae,Peltogaster,paguri,Anomura,Paguroidea,Paguridae,Pagurus,pubescens,Googin's Ledge,na,1938,NA,44.445547,-68.287987,Maine,USA,North_America,NA,NA,ecology,used this line's data in his 1939 rediscovery paper,"Reinhard, E. G. 1942. Studies on the Life History and Host-Parasite Relationship of Peltogaster Paguri. Biological Bulletin 83:401–415."
