
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.120	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.459	22.577	1004	100.000	20.950	52.518	22.394	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.116	22.494	1004	100.000	20.950	52.799	22.454	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.409	22.445	1004	100.000	20.950	52.778	22.511	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	21.712	22.523	1004	100.000	20.950	52.699	22.518	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Data	Smoothing:	3	
Date:	2021-09-01	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-09-01	09:16:41	0.00		267.32	269.19	266.64	265.81	12.059	12.059	12.059	12.059	1006.40	43.148	12.059	---	---	23.654	23.629	23.795	23.845	254.281	232.609	173.023	198.373	6.690	7.100	5.941	6.129	
2021-09-01	09:16:42	1.00		266.57	268.35	265.60	264.99	12.059	12.059	12.059	12.059	1006.45	42.637	12.059	---	---	23.687	23.666	23.841	23.881	253.917	232.859	171.470	197.738	6.290	7.015	5.976	6.151	
2021-09-01	09:16:43	2.00		265.75	267.68	264.42	264.16	12.058	12.058	12.058	12.058	1006.49	42.139	12.058	---	---	23.724	23.696	23.894	23.918	253.560	233.147	169.903	197.098	6.379	6.923	5.879	5.923	
2021-09-01	09:16:44	3.00		265.65	267.64	264.25	264.07	12.058	12.058	12.058	12.058	1006.47	42.151	12.058	---	---	23.728	23.698	23.901	23.922	253.576	233.187	169.923	197.081	6.674	7.179	6.113	6.317	
2021-09-01	09:16:45	4.00		265.71	267.73	264.37	264.01	12.057	12.057	12.057	12.057	1006.43	42.164	12.057	---	---	23.726	23.694	23.896	23.926	253.552	233.199	169.929	197.039	7.080	7.391	6.367	6.548	
2021-09-01	09:16:46	5.00		265.67	267.87	264.50	263.99	12.053	12.053	12.053	12.053	1006.44	42.164	12.053	---	---	23.729	23.690	23.892	23.928	253.572	233.202	169.905	197.041	7.109	7.398	6.339	6.519	
2021-09-01	09:16:47	6.00		265.73	267.89	264.61	264.09	12.052	12.052	12.052	12.052	1006.44	42.164	12.052	---	---	23.727	23.689	23.887	23.924	253.556	233.183	169.891	197.028	7.080	7.401	6.347	6.561	
2021-09-01	09:16:48	7.00		265.73	267.87	264.57	264.22	12.052	12.052	12.052	12.052	1006.48	42.164	12.052	---	---	23.727	23.690	23.889	23.918	253.584	233.167	169.899	197.034	7.088	7.390	6.360	6.486	
2021-09-01	09:16:49	8.00		265.70	267.79	264.53	264.17	12.057	12.057	12.057	12.057	1006.51	42.164	12.057	---	---	23.726	23.692	23.889	23.918	253.575	233.162	169.909	197.014	7.106	7.371	6.340	6.611	
2021-09-01	09:16:50	9.00		265.59	267.83	264.45	264.07	12.055	12.055	12.055	12.055	1006.50	42.164	12.055	---	---	23.732	23.691	23.894	23.924	253.587	233.162	169.899	197.021	7.137	7.385	6.327	6.544	
2021-09-01	09:16:51	10.00		265.63	267.80	264.52	264.00	12.056	12.056	12.056	12.056	1006.48	42.164	12.056	---	---	23.730	23.692	23.890	23.927	253.614	233.175	169.888	197.028	7.040	7.279	6.055	6.337	
2021-09-01	09:16:52	11.00		265.74	267.79	264.55	264.05	12.055	12.055	12.055	12.055	1006.48	42.164	12.055	---	---	23.725	23.692	23.889	23.925	253.640	233.164	169.902	197.034	7.025	7.290	6.124	6.303	
2021-09-01	09:16:53	12.00		265.83	267.83	264.63	264.15	12.056	12.056	12.056	12.056	1006.48	42.164	12.056	---	---	23.721	23.690	23.885	23.920	253.645	233.158	169.915	197.031	7.023	7.348	6.160	6.336	
