
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.260	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.223	23.775	1004	100.000	20.950	52.533	22.309	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.197	23.133	1005	100.000	20.950	52.883	22.396	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.988	23.467	1004	100.000	20.950	52.933	22.462	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.843	23.908	1003	100.000	20.950	52.867	22.451	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Data	Smoothing:	3	
Date:	2021-08-05	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-08-05	09:46:20	0.00		264.41	262.48	262.38	263.12	12.556	12.556	12.556	12.556	1000.88	46.319	12.556	---	---	23.703	23.836	23.928	23.912	189.670	165.343	123.529	142.257	6.727	7.054	5.937	6.415	
2021-08-05	09:46:21	1.00		263.98	262.51	262.29	263.00	12.595	12.595	12.595	12.595	1000.85	46.141	12.595	---	---	23.708	23.820	23.918	23.903	192.799	165.856	123.959	140.821	6.428	6.960	5.994	6.532	
2021-08-05	09:46:22	2.00		263.55	262.86	262.34	262.97	12.628	12.628	12.628	12.628	1000.78	45.963	12.628	---	---	23.715	23.792	23.903	23.892	195.899	166.345	124.411	139.358	6.454	6.980	6.019	6.518	
2021-08-05	09:46:23	3.00		263.32	262.94	262.34	263.06	12.623	12.623	12.623	12.623	1000.75	45.963	12.623	---	---	23.727	23.790	23.905	23.890	195.910	166.347	124.412	139.383	6.925	7.258	6.378	6.739	
2021-08-05	09:46:24	4.05		263.36	263.05	262.44	263.11	12.618	12.618	12.618	12.618	1000.79	45.963	12.618	---	---	23.727	23.787	23.903	23.890	195.876	166.339	124.381	139.379	6.799	7.160	6.113	6.311	
2021-08-05	09:46:25	5.03		263.39	262.96	262.26	263.17	12.619	12.619	12.619	12.619	1000.83	45.953	12.619	---	---	23.725	23.791	23.911	23.887	195.901	166.347	124.387	139.387	6.783	7.139	6.086	6.131	
2021-08-05	09:46:26	6.00		263.64	263.08	262.38	263.17	12.615	12.615	12.615	12.615	1000.85	45.943	12.615	---	---	23.715	23.787	23.907	23.888	195.890	166.337	124.361	139.372	6.607	6.975	5.790	5.763	
2021-08-05	09:46:28	7.24		263.56	262.94	262.37	263.21	12.615	12.615	12.615	12.615	1000.85	45.933	12.615	---	---	23.719	23.793	23.907	23.887	195.924	166.334	124.380	139.345	6.735	7.275	6.133	6.192	
2021-08-05	09:46:29	8.38		263.58	262.94	262.53	263.14	12.610	12.610	12.610	12.610	1000.87	45.933	12.610	---	---	23.720	23.795	23.902	23.891	195.908	166.319	124.336	139.333	6.701	7.246	6.182	6.122	
2021-08-05	09:46:30	9.42		263.50	262.87	262.50	263.08	12.610	12.610	12.610	12.610	1000.88	45.923	12.610	---	---	23.724	23.798	23.903	23.894	195.926	166.298	124.381	139.347	6.889	7.272	6.437	6.481	
2021-08-05	09:46:31	10.62		263.45	262.81	262.55	263.07	12.607	12.607	12.607	12.607	1000.86	45.900	12.607	---	---	23.727	23.802	23.902	23.896	195.903	166.277	124.369	139.348	7.134	7.106	6.442	6.427	
2021-08-05	09:46:32	11.72		263.55	262.83	262.56	262.83	12.606	12.606	12.606	12.606	1000.85	45.867	12.606	---	---	23.723	23.801	23.902	23.907	195.893	166.272	124.394	139.338	7.172	7.149	6.436	6.674	
2021-08-05	09:46:33	12.68		263.54	262.86	262.65	262.86	12.607	12.607	12.607	12.607	1000.82	45.831	12.607	---	---	23.723	23.800	23.898	23.905	195.883	166.270	124.344	139.307	7.137	7.263	6.149	6.420	
2021-08-05	09:46:34	13.75		263.67	263.01	262.68	262.79	12.607	12.607	12.607	12.607	1000.80	45.798	12.607	---	---	23.717	23.793	23.896	23.908	195.889	166.284	124.369	139.292	7.216	7.417	5.881	6.410	
2021-08-05	09:46:35	14.83		263.61	263.11	262.84	262.91	12.603	12.603	12.603	12.603	1000.79	45.775	12.603	---	---	23.721	23.790	23.890	23.904	195.901	166.270	124.374	139.324	6.780	7.130	5.570	6.144	
2021-08-05	09:46:36	15.79		263.61	263.12	262.79	262.91	12.603	12.603	12.603	12.603	1000.81	45.755	12.603	---	---	23.721	23.789	23.893	23.904	195.904	166.275	124.395	139.324	6.807	7.167	5.877	5.952	
2021-08-05	09:46:37	16.87		263.48	263.08	262.86	262.93	12.603	12.603	12.603	12.603	1000.85	45.722	12.603	---	---	23.727	23.791	23.889	23.903	195.898	166.264	124.350	139.314	6.340	6.914	5.801	5.918	
2021-08-05	09:46:38	17.99		263.43	263.08	262.86	263.05	12.606	12.606	12.606	12.606	1000.89	45.678	12.606	---	---	23.728	23.790	23.889	23.897	195.888	166.262	124.326	139.282	6.510	7.160	5.974	6.069	
2021-08-05	09:46:39	19.05		263.36	263.08	262.95	262.93	12.604	12.604	12.604	12.604	1000.88	45.633	12.604	---	---	23.732	23.791	23.885	23.903	195.864	166.253	124.314	139.290	6.474	7.002	6.001	6.494	
2021-08-05	09:46:40	20.12		263.48	263.15	262.84	262.91	12.605	12.605	12.605	12.605	1000.87	45.610	12.605	---	---	23.726	23.787	23.890	23.903	195.850	166.235	124.328	139.310	6.501	7.078	6.256	6.484	
2021-08-05	09:46:41	21.12		263.59	263.17	262.91	262.91	12.603	12.603	12.603	12.603	1000.83	45.587	12.603	---	---	23.722	23.787	23.887	23.904	195.854	166.232	124.332	139.308	6.519	6.896	6.137	6.234	
2021-08-05	09:46:42	22.08		263.71	263.20	263.01	263.12	12.602	12.602	12.602	12.602	1000.87	45.564	12.602	---	---	23.717	23.786	23.883	23.895	195.841	166.224	124.335	139.299	6.057	6.739	5.838	5.963	
2021-08-05	09:46:43	23.08		263.86	263.24	263.05	263.10	12.599	12.599	12.599	12.599	1000.89	45.541	12.599	---	---	23.712	23.786	23.882	23.897	195.855	166.239	124.341	139.270	6.306	6.800	5.920	6.022	
2021-08-05	09:46:44	24.09		263.89	263.26	262.75	263.13	12.600	12.600	12.600	12.600	1000.87	45.528	12.600	---	---	23.710	23.784	23.895	23.895	195.869	166.239	124.326	139.251	6.568	7.039	6.181	6.274	
