
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.120	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.459	22.577	1004	100.000	20.950	52.518	22.394	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.116	22.494	1004	100.000	20.950	52.799	22.454	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.409	22.445	1004	100.000	20.950	52.778	22.511	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	21.712	22.523	1004	100.000	20.950	52.699	22.518	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Data	Smoothing:	3	
Date:	2021-09-02	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-09-02	11:23:04	0.00		244.87	247.44	245.62	248.16	17.450	17.450	17.450	17.450	1007.61	42.342	17.450	---	---	22.805	22.737	22.875	22.770	228.140	220.266	154.361	179.703	6.724	7.254	6.122	6.178	
2021-09-02	11:23:05	1.00		243.89	246.77	244.70	247.20	17.474	17.474	17.474	17.474	1007.60	42.276	17.474	---	---	22.843	22.761	22.911	22.807	228.636	222.085	154.659	180.340	6.745	7.257	6.098	6.212	
2021-09-02	11:23:06	2.00		242.81	246.09	243.78	246.18	17.502	17.502	17.502	17.502	1007.59	42.197	17.502	---	---	22.886	22.783	22.946	22.846	229.124	223.899	154.965	180.960	6.740	7.274	6.086	6.190	
2021-09-02	11:23:07	3.00		242.79	246.32	243.90	246.29	17.497	17.497	17.497	17.497	1007.54	42.184	17.497	---	---	22.888	22.774	22.942	22.842	229.111	223.883	154.967	180.967	6.763	7.282	6.076	6.206	
2021-09-02	11:23:08	4.00		242.74	246.21	243.77	246.11	17.498	17.498	17.498	17.498	1007.56	42.171	17.498	---	---	22.890	22.779	22.948	22.850	229.118	223.899	154.983	180.966	6.746	7.250	6.084	6.180	
2021-09-02	11:23:09	5.00		242.81	246.19	243.77	246.04	17.499	17.499	17.499	17.499	1007.57	42.171	17.499	---	---	22.886	22.779	22.947	22.853	229.109	223.876	154.980	180.983	6.753	7.247	6.097	6.195	
2021-09-02	11:23:10	6.00		242.76	246.02	243.63	245.97	17.502	17.502	17.502	17.502	1007.60	42.161	17.502	---	---	22.888	22.786	22.953	22.856	229.124	223.892	154.973	180.995	6.752	7.239	6.092	6.179	
2021-09-02	11:23:11	7.00		242.73	246.03	243.69	245.98	17.500	17.500	17.500	17.500	1007.56	42.151	17.500	---	---	22.890	22.787	22.951	22.856	229.141	223.885	154.962	180.987	6.758	7.261	6.075	6.168	
2021-09-02	11:23:12	8.00		242.72	245.97	243.62	245.97	17.501	17.501	17.501	17.501	1007.59	42.141	17.501	---	---	22.890	22.789	22.954	22.856	229.155	223.894	154.977	180.994	6.745	7.237	6.060	6.159	
2021-09-02	11:23:13	9.00		242.75	246.06	243.64	245.97	17.499	17.499	17.499	17.499	1007.55	42.128	17.499	---	---	22.889	22.786	22.954	22.857	229.166	223.899	154.990	181.003	6.714	7.232	6.056	6.161	
2021-09-02	11:23:14	10.00		242.72	246.13	243.52	246.03	17.501	17.501	17.501	17.501	1007.60	42.116	17.501	---	---	22.890	22.782	22.959	22.853	229.169	223.905	154.997	181.012	6.720	7.234	6.078	6.162	
2021-09-02	11:23:15	11.00		242.65	246.17	243.54	246.02	17.496	17.496	17.496	17.496	1007.57	42.103	17.496	---	---	22.895	22.781	22.959	22.855	229.155	223.900	154.984	181.017	6.730	7.255	6.083	6.153	
2021-09-02	11:23:16	12.00		242.69	246.14	243.50	245.97	17.496	17.496	17.496	17.496	1007.59	42.093	17.496	---	---	22.893	22.783	22.961	22.858	229.146	223.890	154.996	180.989	6.756	7.265	6.097	6.155	
2021-09-02	11:23:17	13.00		242.77	246.11	243.55	245.99	17.493	17.493	17.493	17.493	1007.59	42.082	17.493	---	---	22.890	22.785	22.960	22.858	229.115	223.904	154.986	180.994	6.735	7.254	6.092	6.164	
2021-09-02	11:23:18	14.00		242.87	246.14	243.49	245.97	17.494	17.494	17.494	17.494	1007.59	42.072	17.494	---	---	22.885	22.783	22.962	22.858	229.119	223.918	155.000	181.008	6.741	7.258	6.090	6.177	
2021-09-02	11:23:19	15.00		242.93	246.16	243.46	245.95	17.493	17.493	17.493	17.493	1007.58	42.072	17.493	---	---	22.883	22.783	22.964	22.859	229.121	223.936	154.978	181.043	6.736	7.263	6.093	6.180	
2021-09-02	11:23:20	16.00		242.90	246.16	243.46	245.99	17.496	17.496	17.496	17.496	1007.57	42.072	17.496	---	---	22.883	22.782	22.963	22.857	229.128	223.919	154.991	181.057	6.760	7.273	6.118	6.179	
2021-09-02	11:23:21	17.00		242.90	246.06	243.40	246.02	17.496	17.496	17.496	17.496	1007.63	42.072	17.496	---	---	22.883	22.786	22.966	22.855	229.136	223.905	154.994	181.060	6.728	7.266	6.112	6.177	
