
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.120	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.459	22.577	1004	100.000	20.950	52.518	22.394	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.409	22.445	1004	100.000	20.950	52.778	22.511	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	21.712	22.523	1004	100.000	20.950	52.699	22.518	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Data	Smoothing:	3	
Date:	2021-08-25	
			 	Oxygen		Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-08-25	11:32:12	0.00		249.28	---	251.27	250.24	17.198	---	17.198	17.198	1004.16	42.204	17.198	---	---	22.682	---	22.695	22.757	178.576	---	134.319	177.614	7.050	---	6.251	6.304	
2021-08-25	11:32:13	1.00		248.56	---	250.09	249.37	17.218	---	17.218	17.218	1004.16	42.314	17.218	---	---	22.708	---	22.743	22.791	178.855	---	134.665	177.350	6.755	---	6.031	6.166	
2021-08-25	11:32:14	2.00		247.67	---	248.97	248.40	17.238	---	17.238	17.238	1004.19	42.423	17.238	---	---	22.743	---	22.788	22.829	179.135	---	135.020	177.049	6.394	---	5.815	5.854	
2021-08-25	11:32:15	3.00		247.71	---	248.94	248.38	17.239	---	17.239	17.239	1004.20	42.423	17.239	---	---	22.741	---	22.790	22.830	179.141	---	135.025	177.098	6.328	---	5.601	5.771	
2021-08-25	11:32:16	4.00		247.59	---	248.94	248.43	17.239	---	17.239	17.239	1004.20	42.423	17.239	---	---	22.746	---	22.789	22.828	179.147	---	135.028	177.120	6.366	---	5.606	5.995	
2021-08-25	11:32:17	5.00		247.62	---	249.03	248.62	17.236	---	17.236	17.236	1004.20	42.423	17.236	---	---	22.746	---	22.786	22.820	179.167	---	135.011	177.147	6.654	---	5.790	6.283	
2021-08-25	11:32:18	6.00		247.58	---	248.91	248.58	17.236	---	17.236	17.236	1004.19	42.423	17.236	---	---	22.748	---	22.792	22.822	179.183	---	135.007	177.115	6.461	---	5.747	6.184	
2021-08-25	11:32:19	7.00		247.66	---	248.95	248.48	17.235	---	17.235	17.235	1004.20	42.436	17.235	---	---	22.745	---	22.790	22.827	179.207	---	134.977	177.112	6.393	---	5.831	5.797	
2021-08-25	11:32:20	8.00		247.52	---	248.83	248.52	17.237	---	17.237	17.237	1004.16	42.448	17.237	---	---	22.751	---	22.795	22.824	179.205	---	134.938	177.106	6.206	---	5.612	5.388	
2021-08-25	11:32:21	9.00		247.46	---	248.76	248.55	17.236	---	17.236	17.236	1004.14	42.461	17.236	---	---	22.754	---	22.799	22.823	179.191	---	134.903	177.116	6.176	---	5.811	5.397	
2021-08-25	11:32:22	10.00		247.33	---	248.87	248.66	17.233	---	17.233	17.233	1004.13	42.461	17.233	---	---	22.761	---	22.795	22.819	179.166	---	134.892	177.129	6.551	---	6.033	5.772	
2021-08-25	11:32:23	11.00		247.32	---	248.95	248.64	17.229	---	17.229	17.229	1004.16	42.461	17.229	---	---	22.763	---	22.793	22.821	179.166	---	134.877	177.141	6.766	---	6.167	5.960	
2021-08-25	11:32:24	12.00		247.21	---	248.86	248.69	17.230	---	17.230	17.230	1004.18	42.461	17.230	---	---	22.768	---	22.796	22.818	179.181	---	134.855	177.152	7.051	---	6.198	6.346	
