
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.120	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.459	22.577	1004	100.000	20.950	52.518	22.394	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.116	22.494	1004	100.000	20.950	52.799	22.454	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.409	22.445	1004	100.000	20.950	52.778	22.511	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	21.712	22.523	1004	100.000	20.950	52.699	22.518	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.120	
Data	Smoothing:	3	
Date:	2021-08-29	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-08-29	11:10:33	0.00		255.18	254.03	255.03	214.26	14.119	14.119	14.119	14.119	1003.88	48.921	14.119	---	---	23.481	23.591	23.597	26.340	252.992	228.592	157.675	113.992	6.767	7.150	6.206	6.379	
2021-08-29	11:10:34	1.03		250.17	249.01	250.89	170.85	15.720	15.720	15.720	15.720	1003.86	48.916	15.720	---	---	23.158	23.267	23.231	28.560	249.350	225.033	155.496	59.273	6.772	7.237	6.192	6.427	
2021-08-29	11:10:35	2.03		245.19	244.04	246.78	---	17.324	17.324	17.324	17.324	1003.82	48.924	17.324	---	---	22.831	22.940	22.863	30.831	245.695	221.427	153.268	4.535	6.784	7.338	6.241	6.418	
2021-08-29	11:10:36	3.05		245.24	244.09	246.78	---	17.319	17.319	17.319	17.319	1003.76	48.924	17.319	---	---	22.831	22.940	22.865	30.896	245.675	221.431	153.260	4.530	6.686	7.318	6.245	6.340	
2021-08-29	11:10:37	4.06		245.24	244.12	246.97	---	17.321	17.321	17.321	17.321	1003.78	48.924	17.321	---	---	22.830	22.938	22.855	30.847	245.671	221.378	153.241	4.525	6.813	7.316	6.294	6.337	
2021-08-29	11:10:38	5.03		245.33	244.14	247.05	---	17.317	17.317	17.317	17.317	1003.80	48.924	17.317	---	---	22.827	22.938	22.853	30.864	245.666	221.400	153.246	4.522	6.723	7.191	6.160	6.173	
2021-08-29	11:10:39	6.01		245.32	244.07	247.10	---	17.319	17.319	17.319	17.319	1003.80	48.924	17.319	---	---	22.827	22.941	22.850	30.664	245.660	221.411	153.239	4.503	6.727	7.191	6.065	6.122	
2021-08-29	11:10:40	7.00		245.35	244.17	246.95	---	17.315	17.315	17.315	17.315	1003.78	48.924	17.315	---	---	22.827	22.937	22.858	30.624	245.646	221.452	153.227	4.519	6.759	7.174	6.032	6.096	
2021-08-29	11:10:41	8.00		245.27	244.25	246.78	---	17.314	17.314	17.314	17.314	1003.77	48.924	17.314	---	---	22.831	22.934	22.867	30.590	245.638	221.408	153.250	4.523	6.763	7.310	6.158	6.256	
2021-08-29	11:10:42	9.00		245.24	244.26	246.76	---	17.313	17.313	17.313	17.313	1003.79	48.924	17.313	---	---	22.833	22.934	22.868	30.621	245.640	221.364	153.260	4.541	6.760	7.333	6.222	6.326	
2021-08-29	11:10:43	10.00		245.27	244.17	246.64	---	17.313	17.313	17.313	17.313	1003.78	48.924	17.313	---	---	22.831	22.938	22.873	30.792	245.632	221.337	153.287	4.551	6.709	7.343	6.248	6.250	
2021-08-29	11:10:44	11.00		245.31	244.22	246.59	---	17.313	17.313	17.313	17.313	1003.78	48.924	17.313	---	---	22.829	22.936	22.876	30.891	245.621	221.351	153.281	4.574	6.643	7.184	6.157	6.224	
2021-08-29	11:10:45	12.00		245.33	244.20	246.46	---	17.312	17.312	17.312	17.312	1003.76	48.924	17.312	---	---	22.829	22.937	22.882	30.997	245.618	221.391	153.291	4.590	6.487	7.023	6.000	6.074	
2021-08-29	11:10:46	13.00		245.41	244.20	246.41	---	17.311	17.311	17.311	17.311	1003.76	48.924	17.311	---	---	22.825	22.937	22.885	30.894	245.622	221.390	153.280	4.586	6.323	6.897	5.844	5.982	
