
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.260	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.223	23.775	1004	100.000	20.950	52.533	22.309	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.197	23.133	1005	100.000	20.950	52.883	22.396	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.988	23.467	1004	100.000	20.950	52.933	22.462	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.843	23.908	1003	100.000	20.950	52.867	22.451	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Data	Smoothing:	3	
Date:	2021-08-06	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-08-06	11:20:23	0.00		253.66	254.49	253.64	256.51	13.965	13.965	13.965	13.965	1004.10	49.132	13.965	---	---	23.705	23.714	23.839	23.725	257.349	243.888	148.655	224.767	6.717	7.265	6.288	6.385	
2021-08-06	11:20:24	1.00		248.81	249.65	250.15	251.30	15.585	15.585	15.585	15.585	1004.25	48.380	15.585	---	---	23.366	23.371	23.433	23.398	252.816	240.365	146.089	221.016	6.652	7.176	6.286	6.313	
2021-08-06	11:20:25	2.09		243.88	244.81	246.68	246.08	17.201	17.201	17.201	17.201	1004.40	47.617	17.201	---	---	23.031	23.030	23.027	23.073	248.255	236.835	143.490	217.274	6.552	7.113	6.243	6.393	
2021-08-06	11:20:26	3.08		243.94	244.82	246.66	246.12	17.192	17.192	17.192	17.192	1004.38	47.606	17.192	---	---	23.031	23.032	23.031	23.074	248.243	236.848	143.484	217.261	6.232	7.003	6.004	6.120	
2021-08-06	11:20:27	4.08		243.98	244.88	246.65	246.25	17.183	17.183	17.183	17.183	1004.37	47.596	17.183	---	---	23.032	23.032	23.034	23.071	248.207	236.858	143.470	217.262	6.490	7.146	5.965	6.191	
2021-08-06	11:20:29	5.15		243.94	244.85	246.73	246.31	17.181	17.181	17.181	17.181	1004.36	47.596	17.181	---	---	23.035	23.034	23.031	23.069	248.219	236.836	143.468	217.260	6.868	7.158	5.797	5.853	
2021-08-06	11:20:29	6.11		243.92	244.95	246.85	246.36	17.175	17.175	17.175	17.175	1004.37	47.583	17.175	---	---	23.038	23.031	23.027	23.069	248.220	236.816	143.483	217.264	6.914	7.042	5.799	5.952	
2021-08-06	11:20:30	7.13		244.00	245.06	246.94	246.30	17.174	17.174	17.174	17.174	1004.37	47.571	17.174	---	---	23.034	23.026	23.023	23.071	248.235	236.805	143.468	217.275	6.962	7.056	5.964	6.117	
2021-08-06	11:20:31	8.09		244.18	245.09	246.94	246.31	17.171	17.171	17.171	17.171	1004.38	47.538	17.171	---	---	23.027	23.026	23.024	23.072	248.210	236.823	143.468	217.267	6.601	7.167	6.195	6.484	
2021-08-06	11:20:33	9.16		244.20	245.07	247.07	246.40	17.168	17.168	17.168	17.168	1004.38	47.517	17.168	---	---	23.027	23.028	23.019	23.069	248.216	236.838	143.447	217.260	6.512	7.232	6.159	6.297	
2021-08-06	11:20:33	10.12		244.14	245.05	247.11	246.36	17.164	17.164	17.164	17.164	1004.38	47.464	17.164	---	---	23.031	23.030	23.019	23.072	248.234	236.838	143.450	217.262	6.362	7.180	6.073	6.154	
2021-08-06	11:20:34	11.08		244.13	245.08	247.14	246.47	17.160	17.160	17.160	17.160	1004.38	47.431	17.160	---	---	23.033	23.030	23.018	23.068	248.262	236.822	143.439	217.266	6.429	7.015	5.932	6.008	
2021-08-06	11:20:35	12.10		244.13	245.00	247.06	246.44	17.161	17.161	17.161	17.161	1004.38	47.385	17.161	---	---	23.033	23.034	23.022	23.069	248.249	236.815	143.461	217.270	6.569	7.164	5.984	6.086	
