
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.260	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.223	23.775	1004	100.000	20.950	52.533	22.309	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.197	23.133	1005	100.000	20.950	52.883	22.396	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.988	23.467	1004	100.000	20.950	52.933	22.462	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.843	23.908	1003	100.000	20.950	52.867	22.451	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Data	Smoothing:	3	
Date:	2021-08-06	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-08-06	13:06:39	0.00		213.25	213.83	214.93	214.76	22.578	22.578	22.578	22.578	1004.62	48.028	22.578	---	---	22.888	22.899	22.926	22.952	251.858	236.566	148.681	216.821	6.496	6.963	5.993	5.874	
2021-08-06	13:06:40	1.00		212.45	212.76	213.94	214.00	22.660	22.660	22.660	22.660	1004.70	47.873	22.660	---	---	22.907	22.933	22.955	22.969	251.779	236.886	148.422	216.769	6.688	7.188	6.118	6.151	
2021-08-06	13:06:41	2.32		211.74	211.88	212.75	213.35	22.739	22.739	22.739	22.739	1004.78	47.718	22.739	---	---	22.921	22.957	22.995	22.980	251.653	237.212	148.176	216.718	6.889	7.427	6.216	6.337	
2021-08-06	13:06:42	3.35		211.80	211.91	212.88	213.27	22.727	22.727	22.727	22.727	1004.77	47.708	22.727	---	---	22.922	22.959	22.992	22.988	251.661	237.251	148.184	216.740	6.801	7.381	6.164	6.467	
2021-08-06	13:06:43	4.42		211.87	211.96	212.89	213.43	22.720	22.720	22.720	22.720	1004.77	47.698	22.720	---	---	22.920	22.958	22.993	22.982	251.623	237.257	148.176	216.744	6.718	7.259	6.037	6.265	
2021-08-06	13:06:44	5.42		211.82	212.04	213.01	213.43	22.709	22.709	22.709	22.709	1004.76	47.688	22.709	---	---	22.926	22.957	22.990	22.985	251.637	237.282	148.183	216.786	6.702	7.303	6.162	6.293	
2021-08-06	13:06:45	6.39		211.90	212.12	212.99	213.49	22.703	22.703	22.703	22.703	1004.76	47.675	22.703	---	---	22.924	22.954	22.993	22.983	251.652	237.273	148.222	216.776	6.381	7.289	6.239	6.352	
2021-08-06	13:06:46	7.36		211.84	212.16	212.94	213.39	22.698	22.698	22.698	22.698	1004.76	47.662	22.698	---	---	22.929	22.953	22.997	22.990	251.673	237.304	148.239	216.768	6.584	7.353	6.323	6.346	
2021-08-06	13:06:47	8.32		211.94	212.10	212.95	213.44	22.694	22.694	22.694	22.694	1004.76	47.639	22.694	---	---	22.924	22.958	22.998	22.989	251.707	237.294	148.237	216.753	6.397	7.250	6.209	6.229	
2021-08-06	13:06:48	9.27		212.03	212.13	212.93	213.44	22.690	22.690	22.690	22.690	1004.76	47.629	22.690	---	---	22.921	22.958	23.000	22.990	251.703	237.306	148.213	216.751	6.737	7.289	6.156	6.172	
2021-08-06	13:06:49	10.45		212.18	212.07	213.00	213.47	22.688	22.688	22.688	22.688	1004.76	47.609	22.688	---	---	22.913	22.961	22.997	22.989	251.684	237.314	148.202	216.790	6.770	7.370	6.299	6.365	
2021-08-06	13:06:50	11.41		212.06	212.07	213.02	213.42	22.689	22.689	22.689	22.689	1004.76	47.598	22.689	---	---	22.919	22.961	22.996	22.991	251.665	237.333	148.204	216.788	6.873	7.320	6.321	6.396	
2021-08-06	13:06:51	12.43		211.91	212.04	212.97	213.42	22.689	22.689	22.689	22.689	1004.76	47.588	22.689	---	---	22.927	22.963	22.999	22.991	251.680	237.330	148.191	216.794	6.945	7.237	6.167	6.003	
2021-08-06	13:06:52	13.38		211.79	212.13	212.99	213.42	22.686	22.686	22.686	22.686	1004.76	47.588	22.686	---	---	22.935	22.959	22.998	22.992	251.705	237.322	148.209	216.796	7.048	7.236	6.099	5.990	
2021-08-06	13:06:53	14.39		211.78	212.16	212.91	213.51	22.684	22.684	22.684	22.684	1004.74	47.588	22.684	---	---	22.937	22.958	23.003	22.988	251.701	237.328	148.208	216.803	7.092	7.327	5.847	5.639	
2021-08-06	13:06:54	15.35		211.85	212.13	213.04	213.59	22.681	22.681	22.681	22.681	1004.73	47.588	22.681	---	---	22.933	22.961	22.997	22.985	251.690	237.325	148.226	216.794	6.989	7.382	5.981	5.969	
2021-08-06	13:06:55	16.30		211.88	212.12	212.92	213.65	22.678	22.678	22.678	22.678	1004.74	47.588	22.678	---	---	22.932	22.962	23.004	22.982	251.692	237.329	148.219	216.778	6.651	7.154	5.824	5.890	
2021-08-06	13:06:56	17.26		211.97	212.11	212.86	213.56	22.677	22.677	22.677	22.677	1004.76	47.588	22.677	---	---	22.928	22.963	23.008	22.988	251.707	237.329	148.220	216.788	6.511	6.992	5.807	6.007	
2021-08-06	13:06:57	18.21		211.92	212.14	212.81	213.55	22.673	22.673	22.673	22.673	1004.81	47.588	22.673	---	---	22.932	22.962	23.012	22.989	251.715	237.347	148.207	216.805	6.485	7.028	5.837	6.011	
2021-08-06	13:06:58	0.00		211.98	212.11	212.85	213.49	22.672	22.672	22.672	22.672	1004.82	47.588	22.672	---	---	22.929	22.964	23.010	22.993	251.708	237.338	148.215	216.816	6.855	7.210	6.062	6.205	
2021-08-06	13:06:59	0.97		211.97	212.10	212.91	213.54	22.671	22.671	22.671	22.671	1004.84	47.588	22.671	---	---	22.930	22.965	23.007	22.990	251.696	237.337	148.246	216.804	7.047	7.370	6.356	6.491	
2021-08-06	13:07:00	1.93		211.96	212.06	212.92	213.56	22.671	22.671	22.671	22.671	1004.81	47.588	22.671	---	---	22.930	22.967	23.006	22.989	251.713	237.343	148.270	216.828	6.950	7.363	6.285	6.511	
