
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	34.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	34.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	34.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	34.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.260	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.223	23.775	1004	100.000	20.950	52.533	22.309	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.197	23.133	1005	100.000	20.950	52.883	22.396	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.988	23.467	1004	100.000	20.950	52.933	22.462	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.843	23.908	1003	100.000	20.950	52.867	22.451	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Data	Smoothing:	3	
Date:	2021-08-09	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-08-09	13:57:54	0.00		212.05	211.98	213.26	214.30	22.376	22.376	22.376	22.376	1008.19	47.848	22.376	---	---	22.878	22.925	22.941	22.902	243.400	159.251	146.105	235.260	6.446	6.993	5.963	6.139	
2021-08-09	13:57:55	1.00		211.03	211.25	212.31	213.64	22.466	22.466	22.466	22.466	1008.25	47.893	22.466	---	---	22.907	22.938	22.966	22.911	243.907	159.700	144.794	235.019	6.747	7.170	6.210	6.465	
2021-08-09	13:57:56	2.00		209.93	210.76	211.46	213.09	22.551	22.551	22.551	22.551	1008.28	47.939	22.551	---	---	22.942	22.939	22.987	22.915	244.384	160.140	143.488	234.760	6.520	7.183	6.119	6.269	
2021-08-09	13:57:57	3.00		210.06	210.86	211.56	213.24	22.534	22.534	22.534	22.534	1008.24	47.939	22.534	---	---	22.940	22.939	22.987	22.912	244.422	160.158	143.489	234.768	6.549	7.249	6.063	6.361	
2021-08-09	13:57:58	4.00		210.01	210.95	211.50	213.20	22.529	22.529	22.529	22.529	1008.23	47.926	22.529	---	---	22.944	22.935	22.991	22.916	244.443	160.188	143.494	234.783	6.273	7.180	6.087	6.283	
2021-08-09	13:57:59	5.00		210.14	210.98	211.61	213.21	22.523	22.523	22.523	22.523	1008.27	47.914	22.523	---	---	22.939	22.935	22.987	22.917	244.460	160.188	143.494	234.801	6.261	6.975	6.002	6.211	
2021-08-09	13:58:00	6.00		210.05	210.92	211.58	213.15	22.521	22.521	22.521	22.521	1008.27	47.901	22.521	---	---	22.945	22.939	22.989	22.921	244.477	160.171	143.505	234.799	6.339	6.962	5.945	5.947	
2021-08-09	13:58:01	7.00		210.07	210.86	211.58	213.26	22.518	22.518	22.518	22.518	1008.28	47.891	22.518	---	---	22.944	22.944	22.990	22.916	244.458	160.144	143.514	234.797	6.343	7.037	5.913	5.975	
2021-08-09	13:58:02	8.00		210.02	210.76	211.45	213.27	22.516	22.516	22.516	22.516	1008.23	47.881	22.516	---	---	22.948	22.950	22.998	22.916	244.464	160.153	143.508	234.787	6.380	7.047	5.815	5.991	
2021-08-09	13:58:03	9.00		210.07	210.70	211.41	213.24	22.516	22.516	22.516	22.516	1008.27	47.871	22.516	---	---	22.945	22.954	23.000	22.918	244.459	160.146	143.509	234.802	6.514	7.090	6.058	6.224	
2021-08-09	13:58:04	10.00		210.01	210.58	211.45	213.28	22.514	22.514	22.514	22.514	1008.27	47.861	22.514	---	---	22.949	22.960	22.999	22.916	244.475	160.155	143.499	234.804	6.738	7.067	6.087	6.245	
2021-08-09	13:58:05	11.00		210.02	210.49	211.56	213.26	22.513	22.513	22.513	22.513	1008.28	47.850	22.513	---	---	22.948	22.966	22.993	22.917	244.466	160.164	143.508	234.832	6.845	7.115	6.136	6.148	
2021-08-09	13:58:06	12.00		209.99	210.47	211.66	213.25	22.511	22.511	22.511	22.511	1008.24	47.840	22.511	---	---	22.951	22.967	22.988	22.918	244.460	160.180	143.529	234.822	6.684	7.149	6.135	6.084	
2021-08-09	13:58:07	13.00		210.01	210.63	211.70	213.06	22.510	22.510	22.510	22.510	1008.21	47.827	22.510	---	---	22.950	22.959	22.986	22.929	244.456	160.183	143.529	234.825	6.405	7.019	6.120	6.035	
2021-08-09	13:58:08	14.00		209.90	210.71	211.64	213.04	22.512	22.512	22.512	22.512	1008.21	47.815	22.512	---	---	22.955	22.954	22.989	22.929	244.475	160.185	143.535	234.815	6.263	7.074	6.230	6.150	
2021-08-09	13:58:09	15.00		209.84	210.76	211.61	213.05	22.511	22.511	22.511	22.511	1008.25	47.802	22.511	---	---	22.959	22.951	22.991	22.929	244.481	160.185	143.510	234.824	6.211	7.072	6.098	6.254	
2021-08-09	13:58:10	16.00		209.83	210.81	211.72	213.19	22.511	22.511	22.511	22.511	1008.25	47.802	22.511	---	---	22.960	22.949	22.985	22.922	244.486	160.194	143.537	234.835	6.267	7.064	5.895	6.008	
2021-08-09	13:58:11	17.00		209.86	210.94	211.67	213.22	22.506	22.506	22.506	22.506	1008.25	47.815	22.506	---	---	22.960	22.943	22.989	22.922	244.485	160.188	143.558	234.857	6.199	6.942	5.800	6.104	
2021-08-09	13:58:12	18.00		209.87	211.03	211.69	213.27	22.506	22.506	22.506	22.506	1008.23	47.827	22.506	---	---	22.959	22.938	22.988	22.919	244.516	160.189	143.555	234.855	6.285	6.978	5.827	6.023	
2021-08-09	13:58:13	19.00		209.79	210.98	211.47	213.22	22.505	22.505	22.505	22.505	1008.24	47.840	22.505	---	---	22.964	22.941	23.000	22.922	244.559	160.198	143.553	234.843	6.564	7.097	5.950	6.213	
2021-08-09	13:58:14	20.00		209.84	210.95	211.43	213.21	22.507	22.507	22.507	22.507	1008.25	47.840	22.507	---	---	22.960	22.942	23.002	22.922	244.565	160.225	143.546	234.851	6.786	7.119	5.941	6.166	
2021-08-09	13:58:15	21.00		209.93	210.86	211.42	213.13	22.504	22.504	22.504	22.504	1008.22	47.850	22.504	---	---	22.956	22.948	23.003	22.927	244.537	160.233	143.566	234.843	6.877	7.054	5.802	5.988	
2021-08-09	13:58:16	22.00		210.03	210.75	211.58	213.05	22.503	22.503	22.503	22.503	1008.23	47.861	22.503	---	---	22.951	22.954	22.995	22.932	244.505	160.226	143.568	234.885	6.600	6.975	5.886	6.063	
2021-08-09	13:58:17	23.00		209.95	210.59	211.62	213.03	22.504	22.504	22.504	22.504	1008.24	47.871	22.504	---	---	22.955	22.963	22.992	22.932	244.517	160.205	143.581	234.882	6.391	7.064	5.869	6.112	
