
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	32.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.260	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.223	23.775	1004	100.000	20.950	52.533	22.309	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	23.197	23.133	1005	100.000	20.950	52.883	22.396	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.988	23.467	1004	100.000	20.950	52.933	22.462	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.843	23.908	1003	100.000	20.950	52.867	22.451	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Data	Smoothing:	3	
Date:	2021-08-05	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-08-05	13:37:49	0.00		232.34	232.22	234.40	234.25	19.266	19.266	19.266	19.266	1000.55	45.055	19.266	---	---	22.949	22.993	22.973	22.997	179.454	162.378	117.485	133.811	7.028	7.229	6.282	6.228	
2021-08-05	13:37:50	1.00		225.02	226.75	227.60	227.60	20.841	20.841	20.841	20.841	1000.41	45.467	20.841	---	---	22.824	22.772	22.817	22.835	173.924	161.312	116.764	132.998	6.961	7.269	6.238	6.339	
2021-08-05	13:37:51	2.00		217.51	221.36	220.72	220.93	22.418	22.418	22.418	22.418	1000.31	45.889	22.418	---	---	22.709	22.547	22.666	22.673	168.414	160.257	116.029	132.187	6.986	7.321	6.255	6.406	
2021-08-05	13:37:52	3.00		217.63	221.44	220.95	220.77	22.408	22.408	22.408	22.408	1000.25	45.889	22.408	---	---	22.706	22.546	22.657	22.685	168.430	160.253	116.014	132.176	7.004	7.333	6.241	6.362	
2021-08-05	13:37:53	4.01		217.68	221.30	220.98	220.86	22.401	22.401	22.401	22.401	1000.26	45.902	22.401	---	---	22.705	22.555	22.658	22.681	168.431	160.264	116.019	132.170	7.089	7.359	6.167	6.239	
2021-08-05	13:37:54	5.00		217.80	221.29	220.95	220.88	22.391	22.391	22.391	22.391	1000.24	45.912	22.391	---	---	22.702	22.559	22.662	22.683	168.437	160.272	116.009	132.176	7.092	7.345	5.920	5.715	
2021-08-05	13:37:55	6.00		217.82	221.30	220.79	220.99	22.387	22.387	22.387	22.387	1000.25	45.925	22.387	---	---	22.702	22.560	22.672	22.679	168.434	160.266	115.998	132.167	7.003	7.290	5.835	5.603	
2021-08-05	13:37:56	7.02		217.82	221.44	220.72	220.85	22.385	22.385	22.385	22.385	1000.26	45.925	22.385	---	---	22.703	22.553	22.676	22.687	168.438	160.267	115.991	132.155	7.153	7.435	6.172	6.030	
2021-08-05	13:37:57	8.15		217.88	221.44	220.73	220.79	22.385	22.385	22.385	22.385	1000.28	45.918	22.385	---	---	22.699	22.553	22.675	22.690	168.410	160.269	116.009	132.151	6.820	7.269	6.266	6.400	
2021-08-05	13:37:58	9.16		217.89	221.43	220.82	220.83	22.381	22.381	22.381	22.381	1000.25	45.918	22.381	---	---	22.700	22.555	22.672	22.689	168.418	160.285	116.008	132.149	6.615	7.104	6.205	6.364	
2021-08-05	13:37:59	10.12		217.90	221.46	220.75	221.03	22.378	22.378	22.378	22.378	1000.26	45.918	22.378	---	---	22.700	22.554	22.676	22.680	168.402	160.274	116.014	132.141	6.584	7.110	5.971	6.112	
2021-08-05	13:38:00	11.10		217.79	221.36	220.61	221.25	22.375	22.375	22.375	22.375	1000.25	45.905	22.375	---	---	22.707	22.560	22.685	22.669	168.425	160.283	116.014	132.148	6.796	7.157	6.014	6.010	
2021-08-05	13:38:01	12.09		217.70	221.33	220.37	221.14	22.376	22.376	22.376	22.376	1000.30	45.902	22.376	---	---	22.711	22.561	22.697	22.674	168.409	160.297	116.029	132.156	6.921	7.380	6.157	6.164	
