
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.260	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.400	1005	100.000	20.950	52.800	22.431	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.400	1005	100.000	20.950	52.800	22.431	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.400	1005	100.000	20.950	52.800	22.431	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.400	1005	100.000	20.950	52.800	22.431	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Data	Smoothing:	3	
Date:	2021-08-01	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-08-01	16:32:18	0.00		219.43	209.31	217.98	214.72	24.179	24.179	24.179	24.179	1005.69	46.871	24.179	---	---	22.051	22.587	22.128	22.301	203.262	124.082	108.220	156.879	6.711	7.173	6.052	6.080	
2021-08-01	16:32:19	1.00		212.74	206.18	210.93	207.80	25.766	25.766	25.766	25.766	1005.63	47.245	25.766	---	---	21.954	22.306	22.053	22.224	204.759	113.429	110.239	158.038	6.826	7.365	6.206	6.241	
2021-08-01	16:32:20	2.00		206.01	203.01	203.95	201.02	27.351	27.351	27.351	27.351	1005.61	47.619	27.351	---	---	21.860	22.028	21.975	22.140	206.254	102.754	112.243	159.201	6.740	7.343	6.192	6.235	
2021-08-01	16:32:22	3.17		205.90	202.83	203.98	201.10	27.349	27.349	27.349	27.349	1005.58	47.609	27.349	---	---	21.867	22.038	21.973	22.136	206.245	102.779	112.235	159.221	6.771	7.313	6.246	6.335	
2021-08-01	16:32:23	4.16		205.79	202.74	203.76	201.08	27.345	27.345	27.345	27.345	1005.57	47.598	27.345	---	---	21.874	22.044	21.987	22.138	206.251	102.753	112.240	159.216	6.728	7.140	6.112	6.297	
2021-08-01	16:32:24	5.18		205.75	202.83	203.70	201.07	27.343	27.343	27.343	27.343	1005.55	47.588	27.343	---	---	21.877	22.040	21.991	22.139	206.244	102.733	112.251	159.212	6.827	7.176	6.124	6.307	
2021-08-01	16:32:25	6.17		205.78	202.92	203.62	201.06	27.339	27.339	27.339	27.339	1005.54	47.588	27.339	---	---	21.876	22.036	21.997	22.141	206.255	102.696	112.265	159.212	6.743	7.206	6.192	6.428	
2021-08-01	16:32:26	7.20		205.79	202.93	203.76	201.18	27.342	27.342	27.342	27.342	1005.56	47.588	27.342	---	---	21.875	22.034	21.988	22.133	206.244	102.690	112.257	159.199	6.823	7.276	6.241	6.517	
2021-08-01	16:32:27	8.20		205.81	202.92	203.74	201.25	27.342	27.342	27.342	27.342	1005.55	47.588	27.342	---	---	21.874	22.035	21.989	22.130	206.251	102.696	112.268	159.196	6.758	7.263	6.253	6.473	
2021-08-01	16:32:28	9.21		205.84	202.98	203.79	201.23	27.341	27.341	27.341	27.341	1005.59	47.588	27.341	---	---	21.872	22.032	21.986	22.131	206.257	102.731	112.278	159.217	6.854	7.286	6.240	6.452	
2021-08-01	16:32:29	10.20		205.88	203.01	204.03	201.06	27.337	27.337	27.337	27.337	1005.61	47.588	27.337	---	---	21.871	22.032	21.974	22.142	206.262	102.748	112.269	159.227	6.772	7.210	6.069	6.132	
2021-08-01	16:32:30	11.16		205.93	202.96	204.22	201.02	27.332	27.332	27.332	27.332	1005.62	47.588	27.332	---	---	21.869	22.036	21.965	22.145	206.271	102.769	112.261	159.219	6.754	7.164	6.060	6.245	
2021-08-01	16:32:31	12.15		205.92	203.01	204.20	200.98	27.332	27.332	27.332	27.332	1005.62	47.588	27.332	---	---	21.870	22.033	21.966	22.147	206.256	102.766	112.252	159.200	6.581	7.018	5.808	5.905	
