
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 2	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 3	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Ch 4	Oxygen Sensor Spot, FTC (normal range)	umol/l	ON	SC7-528-199	3	ON External	12.000	ON	1013	33.000	20%	400x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.260	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.400	1005	100.000	20.950	52.800	22.431	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 2	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.400	1005	100.000	20.950	52.800	22.431	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 3	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.400	1005	100.000	20.950	52.800	22.431	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Ch 4	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	22.400	1005	100.000	20.950	52.800	22.431	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.260	
Data	Smoothing:	3	
Date:	2021-08-01	
			 	Oxygen	Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-08-01	18:05:05	0.00		168.60	168.95	168.60	165.02	31.731	31.731	31.731	31.731	1005.17	50.149	31.731	---	---	23.009	22.985	23.009	23.257	218.238	256.149	139.425	169.469	6.525	7.131	6.010	6.043	
2021-08-01	18:05:06	1.00		168.18	168.11	167.36	164.44	31.964	31.964	31.964	31.964	1005.12	50.027	31.964	---	---	22.978	22.984	23.035	23.239	218.159	256.652	139.309	169.304	6.825	7.353	6.267	6.212	
2021-08-01	18:05:07	2.00		167.86	167.33	166.30	163.77	32.173	32.173	32.173	32.173	1005.12	49.892	32.173	---	---	22.948	22.984	23.055	23.232	218.055	257.146	139.210	169.147	6.605	7.143	6.139	6.235	
2021-08-01	18:05:08	3.00		167.83	167.34	166.31	163.86	32.164	32.164	32.164	32.164	1005.09	49.892	32.164	---	---	22.952	22.985	23.056	23.228	218.091	257.203	139.230	169.145	6.574	7.108	6.203	6.380	
2021-08-01	18:05:09	4.00		167.78	167.32	166.37	163.83	32.159	32.159	32.159	32.159	1005.12	49.902	32.159	---	---	22.956	22.988	23.054	23.232	218.100	257.229	139.205	169.144	6.374	6.953	5.982	6.179	
2021-08-01	18:05:10	5.00		167.84	167.34	166.30	163.83	32.157	32.157	32.157	32.157	1005.10	49.913	32.157	---	---	22.953	22.987	23.059	23.232	218.121	257.253	139.191	169.140	6.448	6.987	5.832	5.927	
2021-08-01	18:05:11	6.00		167.80	167.29	166.22	163.77	32.155	32.155	32.155	32.155	1005.09	49.923	32.155	---	---	22.956	22.991	23.065	23.237	218.174	257.275	139.199	169.154	6.512	7.044	5.686	5.714	
2021-08-01	18:05:12	7.00		167.85	167.21	166.16	163.74	32.151	32.151	32.151	32.151	1005.09	49.936	32.151	---	---	22.953	22.998	23.070	23.240	218.191	257.283	139.230	169.186	6.359	6.915	5.607	5.723	
2021-08-01	18:05:13	8.00		167.76	167.16	166.22	163.61	32.147	32.147	32.147	32.147	1005.09	49.948	32.147	---	---	22.960	23.002	23.067	23.250	218.223	257.299	139.257	169.191	6.430	6.854	5.604	5.639	
2021-08-01	18:05:14	9.00		167.77	167.10	166.22	163.48	32.144	32.144	32.144	32.144	1005.12	49.961	32.144	---	---	22.960	23.007	23.068	23.261	218.233	257.336	139.259	169.214	6.506	6.883	5.692	5.676	
2021-08-01	18:05:15	10.00		167.67	167.18	166.30	163.48	32.145	32.145	32.145	32.145	1005.12	49.971	32.145	---	---	22.967	23.001	23.062	23.260	218.273	257.376	139.276	169.184	6.630	6.994	5.810	5.731	
2021-08-01	18:05:16	11.00		167.59	167.15	166.31	163.57	32.148	32.148	32.148	32.148	1005.13	49.982	32.148	---	---	22.972	23.002	23.061	23.253	218.258	257.421	139.276	169.206	6.651	7.115	5.938	5.850	
2021-08-01	18:05:17	12.00		167.55	167.12	166.32	163.62	32.148	32.148	32.148	32.148	1005.13	49.992	32.148	---	---	22.975	23.005	23.060	23.249	218.280	257.447	139.287	169.222	6.726	7.188	6.136	6.133	
