"","Channel 2 Ave. (C)","Channel 3 Ave. (C)","Channel 4 Ave. (C)"
"2021-08-29T08:57:19-07:00","11.628","11.566","11.434"
"2021-08-29T08:58:19-07:00","11.704","11.633","11.450"
"2021-08-29T08:59:19-07:00","11.705","11.595","11.458"
"2021-08-29T09:00:19-07:00","11.714","11.617","11.455"
"2021-08-29T09:01:19-07:00","11.718","11.627","11.446"
"2021-08-29T09:02:19-07:00","11.730","11.637","11.463"
"2021-08-29T09:03:19-07:00","11.733","11.643","11.469"
"2021-08-29T09:04:19-07:00","11.739","11.647","11.466"
"2021-08-29T09:05:19-07:00","11.743","11.654","11.473"
"2021-08-29T09:06:19-07:00","11.755","11.661","11.489"
"2021-08-29T09:07:19-07:00","11.769","11.674","11.499"
"2021-08-29T09:08:19-07:00","11.772","11.675","11.501"
"2021-08-29T09:09:19-07:00","11.776","11.678","11.499"
"2021-08-29T09:10:19-07:00","11.775","11.677","11.498"
"2021-08-29T09:11:19-07:00","11.784","11.684","11.536"
"2021-08-29T09:12:19-07:00","11.819","11.701","11.575"
"2021-08-29T09:13:19-07:00","11.838","11.726","11.594"
"2021-08-29T09:14:19-07:00","11.862","11.739","11.604"
"2021-08-29T09:15:19-07:00","11.873","11.764","11.613"
"2021-08-29T09:16:19-07:00","11.902","11.799","11.653"
"2021-08-29T09:17:19-07:00","11.928","11.821","11.681"
"2021-08-29T09:18:19-07:00","11.945","11.840","11.695"
"2021-08-29T09:19:19-07:00","11.963","11.857","11.713"
"2021-08-29T09:20:19-07:00","11.975","11.875","11.728"
"2021-08-29T09:21:19-07:00","11.976","11.873","11.727"
"2021-08-29T09:22:19-07:00","11.961","11.869","11.724"
"2021-08-29T09:23:19-07:00","11.965","11.871","11.723"
"2021-08-29T09:24:19-07:00","11.975","11.871","11.718"
"2021-08-29T09:25:19-07:00","11.964","11.863","11.713"
"2021-08-29T09:26:19-07:00","11.968","11.866","11.721"
"2021-08-29T09:27:19-07:00","12.011","11.870","11.725"
"2021-08-29T09:28:19-07:00","12.044","11.929","11.773"
"2021-08-29T09:29:19-07:00","12.053","11.945","11.804"
"2021-08-29T09:30:19-07:00","12.054","11.946","12.192"
"2021-08-29T09:31:19-07:00","12.061","11.947","12.811"
"2021-08-29T09:32:19-07:00","12.061","11.948","12.479"
"2021-08-29T09:33:19-07:00","12.103","11.948","12.520"
"2021-08-29T09:34:19-07:00","12.109","12.004","13.014"
"2021-08-29T09:35:19-07:00","12.190","12.024","12.458"
"2021-08-29T09:36:19-07:00","12.151","12.053","12.924"
"2021-08-29T09:37:19-07:00","12.170","12.028","13.312"
