"","Channel 1 Ave. (C)","Channel 2 Ave. (C)","Channel 3 Ave. (C)","Channel 4 Ave. (C)"
"2021-08-06T09:11:07-07:00","11.876","11.777","11.614","11.453"
"2021-08-06T09:12:07-07:00","11.802","11.705","11.566","11.385"
"2021-08-06T09:13:07-07:00","11.765","11.692","11.513","11.342"
"2021-08-06T09:14:07-07:00","11.758","11.659","11.513","11.369"
"2021-08-06T09:15:07-07:00","11.686","11.604","11.456","11.307"
"2021-08-06T09:16:07-07:00","11.652","11.573","11.449","11.275"
"2021-08-06T09:17:07-07:00","11.641","11.569","11.446","11.291"
"2021-08-06T09:18:07-07:00","11.637","11.588","11.458","11.316"
"2021-08-06T09:19:07-07:00","11.627","11.578","11.476","11.305"
"2021-08-06T09:20:07-07:00","11.618","11.590","11.478","11.322"
"2021-08-06T09:21:07-07:00","11.633","11.617","11.508","11.345"
"2021-08-06T09:22:07-07:00","11.686","11.659","11.558","11.383"
"2021-08-06T09:23:07-07:00","11.696","11.704","11.581","11.398"
"2021-08-06T09:24:07-07:00","11.752","11.769","11.636","11.460"
"2021-08-06T09:25:07-07:00","11.770","11.780","11.643","11.463"
"2021-08-06T09:26:07-07:00","11.782","11.793","11.653","11.473"
"2021-08-06T09:27:07-07:00","11.771","11.789","11.652","11.468"
"2021-08-06T09:28:07-07:00","11.809","11.826","11.688","11.507"
"2021-08-06T09:29:07-07:00","11.818","11.803","11.719","11.527"
"2021-08-06T09:30:07-07:00","11.841","11.864","11.706","11.502"
"2021-08-06T09:31:07-07:00","11.849","11.820","11.708","11.521"
"2021-08-06T09:32:07-07:00","11.832","11.864","11.710","11.498"
"2021-08-06T09:33:07-07:00","11.818","11.836","11.700","11.516"
"2021-08-06T09:34:07-07:00","11.798","11.833","11.708","11.523"
"2021-08-06T09:35:07-07:00","11.786","11.834","11.718","11.537"
"2021-08-06T09:36:07-07:00","11.838","11.895","11.786","11.619"
"2021-08-06T09:37:07-07:00","11.878","11.924","11.828","11.666"
"2021-08-06T09:38:07-07:00","11.890","11.912","11.819","11.674"
"2021-08-06T09:39:07-07:00","11.902","11.912","11.828","11.686"
"2021-08-06T09:40:07-07:00","11.908","11.880","11.836","11.685"
"2021-08-06T09:41:07-07:00","11.903","11.856","11.812","11.661"
"2021-08-06T09:42:07-07:00","11.905","11.881","11.803","11.649"
"2021-08-06T09:43:07-07:00","11.907","11.904","11.790","11.630"
"2021-08-06T09:44:07-07:00","11.917","11.915","11.797","11.634"
"2021-08-06T09:45:07-07:00","11.926","11.924","11.806","11.638"
"2021-08-06T09:46:07-07:00","11.930","11.927","11.803","11.636"
"2021-08-06T09:47:07-07:00","11.935","11.933","11.809","11.638"
"2021-08-06T09:48:07-07:00","11.971","11.952","11.833","11.666"
"2021-08-06T09:49:07-07:00","11.980","11.975","11.842","11.677"
"2021-08-06T09:50:07-07:00","11.972","11.987","11.832","11.662"
"2021-08-06T09:51:07-07:00","12.000","12.000","11.847","11.664"
"2021-08-06T09:52:07-07:00","11.997","12.004","11.851","11.679"
"2021-08-06T09:53:07-07:00","11.998","12.012","11.857","11.680"
"2021-08-06T09:54:07-07:00","12.006","12.021","11.866","11.684"
"2021-08-06T09:55:07-07:00","11.999","12.022","11.869","11.687"
"2021-08-06T09:56:07-07:00","12.007","12.018","11.877","11.699"
"2021-08-06T09:57:07-07:00","11.997","12.009","11.894","11.710"
"2021-08-06T09:58:07-07:00","11.998","12.011","11.877","11.711"
"2021-08-06T09:59:07-07:00","12.004","12.000","11.856","11.710"
